,Name,"knot_uniformity(5, 8)",expected_gradient_norm,"max_knots_countable(2, 3)","expected_gradient_norm(2, 3)",_runtime,"num_knots(3, 5)","knot_uniformity(0, 2)",_step,_wandb,"knot_entropy(3, 5)","knot_entropy(9, 4)","knot_uniformity(1, 7)","num_knots(7, 9)","smoothness(3, 5)","knot_entropy(7, 9)","expected_gradient_norm(5, 8)","knot_uniformity(4, 6)","max_knots_countable(4, 6)","max_knots_countable(6, 0)","max_knots_countable(0, 2)","max_knots_countable(7, 9)","max_knots_countable(8, 1)",total_max_knots_countable,"expected_gradient_norm(6, 0)",val_loss,"num_knots(9, 4)",total_smoothness,"max_knots_countable(5, 8)",test_accuracy,expected_knot_entropy,"knot_uniformity(7, 9)","max_knots_countable(1, 7)","max_knots_countable(9, 4)","expected_gradient_norm(1, 7)","expected_gradient_norm(8, 1)","num_knots(2, 3)","num_knots(8, 1)","knot_uniformity(6, 0)","knot_uniformity(8, 1)",expected_knot_uniformity,total_num_knots,"smoothness(2, 3)",trainer/global_step,"knot_uniformity(9, 4)",epoch,test_loss,"smoothness(8, 1)","smoothness(9, 4)","knot_entropy(0, 2)","knot_uniformity(2, 3)","knot_entropy(8, 1)","expected_gradient_norm(4, 6)","expected_gradient_norm(9, 4)",_timestamp,"smoothness(1, 7)","knot_entropy(5, 8)","expected_gradient_norm(7, 9)",val_accuracy,"smoothness(7, 9)","knot_entropy(1, 7)","knot_uniformity(3, 5)","expected_gradient_norm(0, 2)","num_knots(1, 7)","num_knots(6, 0)","knot_entropy(6, 0)","smoothness(5, 8)","smoothness(6, 0)","knot_entropy(2, 3)","knot_entropy(4, 6)","max_knots_countable(3, 5)","num_knots(0, 2)","num_knots(4, 6)","smoothness(4, 6)","expected_gradient_norm(3, 5)","num_knots(5, 8)","smoothness(0, 2)",cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,plot_knots,log_results,min_step_eps,weight_decay,hidden_layers,learning_rate,evaluate_batch_size,random_init_weights,hidden_group_channels,sanity_check_equivariance,ctrl_points_per_interpolation
0,flowing-sweep-2400,0.0010329064511422554,5.24716329574585,2197344.0,4.96819543838501,27.933937311172485,692.0,0.00017486860495203165,13,{'runtime': 26},-0.37118741222532314,-0.9705086419165624,0.0002027899468952676,676.0,10033.578265203689,-0.638278402060485,6.106276512145996,0.0001609717998676535,2077232.0,2835504.0,2771184.0,2645536.0,3609648.0,25166176.0,4.853680610656738,0.0465671569108963,386.0,201741.10422058863,2160384.0,0.9394000172615052,-0.2311217802808796,0.003111166502792181,3824192.0,1416688.0,4.49944543838501,4.917651653289795,879.0,925.0,0.0007828421871522612,0.00010483749919095796,0.0005730416708921793,8197.0,8963.943659253244,0.0,0.0011228108882620582,0.0,0.22823405265808103,6683.517347734567,11892.740343490266,0.1044853620817312,0.00010773947351100298,-0.14551749945182024,5.783562660217285,4.449119567871094,1716009032.1737213,7494.161725511425,-0.5321821719210051,3.66829776763916,0.9826722741127014,124996.4532098894,-0.1264402487600762,0.00012666619811581165,6.020596981048584,1020.0,962.0,-0.05441275105824417,11897.225559978338,5131.291159352666,-0.14676345520902334,-0.24840642563449045,1628464.0,1165.0,800.0,8220.218906726921,6.83550500869751,692.0,6427.974043448106,False,0.9,0.999,translateH_and_or_W,50,translateH_and_or_W,downsampled_mnist,0,3,10000,True,128,-1,False,True,1e-06,0,4,0.001,1024,False,931,False,1000
1,playful-sweep-2399,0.0002946343658598647,3.7489616870880127,2197344.0,3.462782144546509,31.60742688179016,586.0,0.0003723887810997922,13,{'runtime': 30},-0.3939158968760718,-1.089846145972098,0.0005083959756676024,510.0,6639.584876589652,-0.5746604999936675,3.2395236492156982,0.0007689107023376014,2077232.0,2835504.0,2771184.0,2645536.0,3609648.0,25166176.0,3.2283477783203125,0.10575295984745026,314.0,67256.91708060869,2160384.0,0.9560999870300292,-0.21280299827463617,0.0003463699976374522,3824192.0,1416688.0,3.814529657363891,4.787527084350586,744.0,777.0,0.0004564139511519768,0.0008976500765536988,0.0004753205902257263,6926.0,6506.612145242863,0.0,0.0008708461441569777,0.0,0.20305508375167847,2970.011296086872,13312.773070432886,0.14014176208271412,0.00011173957095639702,-0.14540656140231967,5.356358528137207,4.336670398712158,1716008988.1316009,6343.980677014217,-0.5471225592898978,2.7014925479888916,0.9697349071502686,8197.40068278127,-0.18187364375330617,0.00025910976151519833,3.513779640197754,846.0,887.0,0.1048165387842781,7815.677362218237,3041.9065541925083,-0.0987798082028215,-0.2801746936298706,1628464.0,1008.0,706.0,8442.407520102512,3.0597569942474365,548.0,3986.5628959476744,False,0.9,0.999,translateH_and_or_W,50,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,False,True,1e-06,0,4,0.001,1024,False,931,False,1000
2,worldly-sweep-2398,0.000516391842164593,3.41214919090271,2197344.0,3.3794009685516357,16.00216269493103,252.0,0.0005892235627821462,13,{'runtime': 14},-0.39136423984274593,-1.0740239977115582,0.00323529473945412,193.0,7075.6900665052235,-0.4993672069392172,4.079622268676758,0.0005336532976372584,2077232.0,2835504.0,2771184.0,2645536.0,3609648.0,25166176.0,4.289236068725586,0.1386331468820572,111.0,50574.50479712896,2160384.0,0.9254999756813048,-0.21918166961608104,0.00499929652229004,3824192.0,1416688.0,2.8123619556427,2.6824934482574463,294.0,277.0,8.754155413655649e-05,0.0004051107269382227,0.0012175109625342585,2484.0,3100.225702299271,0.0,0.0018944599578024875,0.0,0.23757702112197876,1476.8038295008591,18265.192891113227,0.22706154191435424,0.0009787282373234715,-0.2340600445516419,3.354823112487793,3.2145402431488037,1716008940.640931,2365.5130124174757,-0.6888363578748855,3.2622525691986084,0.9549278616905212,3048.0947535069427,-0.19199949767667235,0.0004378959234330169,3.181922912597656,287.0,293.0,0.10021422106971478,7267.524712977756,1768.1854124437086,-0.14982864531446083,-0.2546204294568435,1628464.0,326.0,254.0,3998.7960021317704,3.9774951934814458,197.0,2208.478414232726,False,0.9,0.999,translateH_and_or_W,50,translateH_and_or_W,downsampled_mnist,0,3,10000,True,128,-1,False,True,1e-06,0,4,0.001,1024,False,343,False,1000
3,iconic-sweep-2397,0.00036078074915988495,6.161657810211182,2197344.0,6.860672473907471,21.08095145225525,225.0,6.048010141690615e-05,13,{'runtime': 19},-0.4914182685253907,-0.9730829686155706,0.0004209939249020717,236.0,18883.290234688204,-0.5360347339186999,6.557146072387695,0.00046438009805167634,2077232.0,2835504.0,2771184.0,2645536.0,3609648.0,25166176.0,8.63111686706543,0.025415072217583656,127.0,136077.32489265394,2160384.0,0.9666000008583068,-0.2232466878967639,0.0009341719606271118,3824192.0,1416688.0,5.380259990692139,4.5062479972839355,337.0,263.0,0.0002609147568650564,0.001666943051205237,0.0006870499125428829,2802.0,13761.807103192434,0.0,0.0010993143077320463,0.0,0.12574222683906555,2375.1858116816147,19729.67440258013,0.20783117548411045,0.00017056278558266608,0.011707857864722726,4.543728828430176,5.654836654663086,1716008908.6212504,5366.731814771891,-0.5312048119300412,6.355184078216553,0.9918035268783568,16167.102576880368,-0.2757156974817976,0.002295530522068029,6.693530559539795,325.0,447.0,0.012272568670343986,17685.703323449008,11446.332556560325,-0.26026499176525064,-0.27220344834662225,1628464.0,395.0,246.0,19503.11114475649,5.307269096374512,201.0,11158.385924093483,False,0.9,0.999,translateH_and_or_W,50,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,False,True,1e-06,0,4,0.001,1024,False,343,False,1000
4,celestial-sweep-2396,0.003752724911509876,4.251461029052734,2197344.0,4.07333517074585,14.256176233291626,86.0,0.002538754687651459,13,{'runtime': 13},-0.5888416353494144,-1.0462302737695302,0.0003961031354992152,87.0,6120.737842894625,-0.5476364437744206,4.962636947631836,0.0020909606046603003,2077232.0,2835504.0,2771184.0,2645536.0,3609648.0,25166176.0,3.5294642448425293,0.238349124789238,65.0,60432.792014386374,2160384.0,0.9007999897003174,-0.29639802017892763,0.007961783029235265,3824192.0,1416688.0,5.833145618438721,5.1725969314575195,127.0,161.0,0.013685367887382475,0.00044336966457077714,0.003829705782645815,1167.0,5064.789784924316,0.0,0.002700391044810673,0.0,0.3232201039791107,3168.2383838614915,13358.3357216008,0.23382434683259845,0.0023448169788839895,-0.31369917809979153,3.636444091796875,4.111574649810791,1716008875.2260911,3969.6398669127375,-0.570369520302946,4.489260673522949,0.92167466878891,6634.939219189808,-0.19818778451890484,0.0006470376546960753,3.3247125148773193,165.0,111.0,-0.26082063711421455,8739.178774100961,2747.829671901185,-0.26341019814400113,-0.23775588685944984,1628464.0,143.0,135.0,7457.16299613766,3.824450731277466,87.0,3171.9397528627887,False,0.9,0.999,translateH_and_or_W,50,translateH_and_or_W,downsampled_mnist,0,3,10000,True,128,-1,False,True,1e-06,0,4,0.001,1024,False,147,False,1000
5,atomic-sweep-2395,0.00715745558160849,0.0,2197344.0,0.0,15.957214832305908,30.0,0.0014684777548048574,13,{'runtime': 14},-0.20287441477052817,-1.1082977064085,0.0014382677767026438,34.0,0.0,-0.5801911208983177,0.0,0.006834190778806586,2077232.0,2835504.0,2771184.0,2645536.0,3609648.0,25166176.0,0.0,0.6107125282287598,23.0,0.0,2160384.0,0.8055999875068665,-0.15423864778983357,0.0033631652069781373,3824192.0,1416688.0,0.0,0.0,33.0,46.0,0.0016241945460971092,0.0025619151418550114,0.004658850918444165,387.0,0.0,0.0,0.01627024352716561,0.0,0.6451570391654968,0.0,0.0,0.22053218711185396,0.0021800769151292332,-0.12433133196763936,0.0,0.0,1716008845.0256667,0.0,-0.7650402944428287,0.0,0.8150373697280884,0.0,-0.012697818289955976,0.015156830099467146,0.0,55.0,45.0,0.310952770436403,0.0,0.0,0.012881596331730805,-0.40570558989256966,1628464.0,52.0,35.0,0.0,0.0,34.0,0.0,False,0.9,0.999,translateH_and_or_W,50,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,False,True,1e-06,0,4,0.001,1024,False,147,False,1000
6,firm-sweep-2394,0.003885010131261682,4.552470684051514,2197344.0,6.284271717071533,11.037158250808716,24.0,0.0030939721941086254,13,{'runtime': 9},-0.26487799332521744,-0.7982001302048203,0.0012797099828333023,20.0,9103.902719199656,-0.5238246185031756,3.4086203575134277,0.0021660235625572356,2077232.0,2835504.0,2771184.0,2645536.0,3609648.0,25166176.0,4.627399921417236,0.3355724513530731,15.0,79407.15209534764,2160384.0,0.8834999799728394,-0.17422575666822834,0.0015347221227883492,3824192.0,1416688.0,4.045452117919922,3.8112034797668457,36.0,29.0,0.007450705323858391,0.009083833359591778,0.004177115856859481,284.0,9553.790615960956,0.0,0.005238195554629044,0.0,0.38174453377723694,2832.446282664314,19385.192223519087,0.11509145272672594,0.004493275654434057,-0.3037418779493848,4.326741695404053,4.700909614562988,1716008813.5402262,4326.449158919975,-0.7143631070318697,4.442464828491211,0.8991386294364929,11857.317455276849,0.03697488298668672,0.002067700472456096,4.841898441314697,31.0,40.0,0.1641975053598186,6790.93284779042,2489.7476643547416,-0.22564637899708503,-0.01583696510625332,1628464.0,45.0,24.0,10107.601336091757,4.620635509490967,20.0,2959.7717915698886,False,0.9,0.999,translateH_and_or_W,50,translateH_and_or_W,downsampled_mnist,0,3,10000,True,128,-1,False,True,1e-06,0,4,0.001,1024,False,49,False,1000
7,unique-sweep-2393,0.008527864432631918,4.025191783905029,2197344.0,4.5607709884643555,15.780091047286987,31.0,0.0007692503452962405,13,{'runtime': 14},-0.4588235712408388,-0.7671054339564036,0.0038999527853996858,42.0,15358.80194688309,-0.6428088597716202,5.093928813934326,0.005685822508052652,2077232.0,2835504.0,2771184.0,2645536.0,3609648.0,25166176.0,4.1392645835876465,0.3024088144302368,20.0,76945.04355293477,2160384.0,0.9083999991416932,-0.16874894555238046,0.014311855170009222,3824192.0,1416688.0,3.2087860107421875,2.531938314437866,44.0,31.0,0.024416216731968032,0.0020868833278821727,0.011355270493039917,380.0,13674.299255251884,0.0,0.005330163725186961,0.0,0.3014042377471924,1955.7392225456424,16844.70271351561,-0.15317014621292113,0.0035357077514430813,-0.04757045232658763,5.517643451690674,4.862155437469482,1716008786.502299,2632.4962597847916,-0.1103994741633314,3.883522272109986,0.9074018597602844,6739.632835675031,0.18379942296555507,0.05285824776461651,3.617237091064453,44.0,45.0,-0.1547286378466648,8609.509677411057,1722.044215803966,-0.013500387139011584,-0.0643827141024822,1628464.0,65.0,46.0,7607.513109967112,3.875490427017212,12.0,1800.30431609659,False,0.9,0.999,translateH_and_or_W,50,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,False,True,1e-06,0,4,0.001,1024,False,49,False,1000
8,glad-sweep-2392,0.00030268235943094115,1.1884068250656128,2197344.0,1.0806821584701538,21.874523401260376,476.0,7.609251004456695e-05,13,{'runtime': 20},-0.4216016356207577,-0.9506564303980783,0.00041805596535074614,440.0,403.50879443733174,-0.4663919133923491,1.4063575267791748,0.0008145636147745195,2077232.0,2835504.0,2771184.0,2645536.0,3609648.0,25166176.0,1.3970327377319336,0.28745439648628235,248.0,4023.389733186418,2160384.0,0.8939999938011169,-0.18519770577622668,0.000563428912653948,3824192.0,1416688.0,1.1049259901046753,1.0887742042541504,570.0,623.0,0.0002926196338011462,0.0016606911886926654,0.0006404916713894315,5324.0,448.87464176503454,0.0,0.0005718533598911796,0.0,0.3634431362152099,482.2177114270421,902.4564747369496,0.1537286798629669,8.713315202948871e-05,-0.1361656991238327,0.9167932271957396,0.9937102794647216,1716008755.0602734,182.61595721061985,-0.544282441702336,1.1296132802963257,0.9120593070983888,449.58693025378625,-0.06997079968409459,0.002074761708524826,1.1467430591583252,721.0,666.0,0.06484974615807548,364.4274919645832,200.2842166270857,-0.09418966246309246,-0.24164538415449588,1628464.0,698.0,462.0,349.2045000480739,1.6120374202728271,420.0,240.2130147159114,False,0.9,0.999,translateH,50,translateH_and_or_W,downsampled_mnist,0,3,10000,True,128,-1,False,True,1e-06,0,4,0.001,1024,False,931,False,1000
9,pleasant-sweep-2391,0.0001687051734384106,1.4881848096847534,2197344.0,1.8903828859329224,26.515307664871216,496.0,0.0001764638076371445,13,{'runtime': 25},-0.5113366341625589,-1.003315169698018,0.0009695306378793548,410.0,725.9349498473857,-0.5497509534659502,1.492655634880066,0.00030316579019200074,2077232.0,2835504.0,2771184.0,2645536.0,3609648.0,25166176.0,1.6491984128952026,0.16649864614009857,343.0,5558.133462613991,2160384.0,0.9390000104904176,-0.18682421929581228,0.00022215756750264983,3824192.0,1416688.0,1.50380277633667,1.488313913345337,643.0,668.0,8.630867142852456e-05,0.0011217519891111132,0.000395926458759459,5889.0,599.8252906937942,0.0,0.0003069951346174163,0.0,0.18593573570251465,244.378478806595,1373.3823614132816,0.1832919074739721,0.0003319722843933695,-0.10785166982031225,1.0766009092330933,1.347946286201477,1716008715.3427503,334.72947365952587,-0.5285629242904601,0.95678049325943,0.9452791213989258,545.0835378851216,-0.03020940145718054,0.0001293365295129497,1.3621656894683838,701.0,779.0,0.023140933438771327,698.4643651365586,247.07916301159275,-0.05751531897590301,-0.21181856699872803,1628464.0,838.0,574.0,478.6040826948392,1.9416710138320925,437.0,310.6517594652955,False,0.9,0.999,translateH,50,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,False,True,1e-06,0,4,0.001,1024,False,931,False,1000
