,Name,val_loss,test100_loss,_step,_wandb,test60_loss,test90_loss,test50_accuracy,test70_accuracy,_timestamp,train_loss,test40_loss,test70_loss,train_accuracy,test60_accuracy,test100_accuracy,test10_loss,test80_loss,test20_accuracy,test40_accuracy,trainer/global_step,epoch,test50_loss,val_accuracy,test0_accuracy,test10_accuracy,test80_accuracy,test90_accuracy,test0_loss,_runtime,test20_loss,test30_loss,test30_accuracy,cpu,beta1,beta2,group,model,aa-seed,aa_seed,augment,dataset,log_eps,batch-size,batch_size,max-epochs,max_epochs,model_name,in_channels,log-results,log_results,model_save_dir,log_weight_decay,log_learning_rate,optimizer_dict/lr,optimizer_dict/eps,augment-probability,augment_probability,optimizer_dict/betas,hidden_group_channels,use-float32-precision,use_float32_precision,sanity-check-equivariance,sanity_check_equivariance,optimizer_dict/weight_decay
0,group=rot180_and_or_transpose-augment=1.0-dataset=fashion-seed2,0.3262835144996643,0.3350032866001129,9787,{'runtime': 478},0.3339574933052063,0.3315485119819641,0.8841999769210815,0.8870999813079834,1707768541.5596287,0.4173867702484131,0.34051957726478577,0.33191296458244324,0.875,0.8842999935150146,0.8812000155448914,0.33957719802856445,0.3257082998752594,0.8824999928474426,0.8784999847412109,9750,25,0.3336426019668579,0.8862000107765198,0.8810999989509583,0.8823999762535095,0.8853999972343445,0.8835999965667725,0.34156692028045654,483.75612473487854,0.33662188053131104,0.33908388018608093,0.8820000290870667,False,0.839867,0.994937,rot180_and_or_transpose,cohen_large,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=rot180_and_or_transpose-augment=1.0-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,1.0,1.0,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
1,group=rot180_and_or_transpose-augment=1.0-dataset=fashion-seed2,0.5705579519271851,0.5595978498458862,5486,{'runtime': 240},0.6011297106742859,0.5665913820266724,0.7921000123023987,0.7942000031471252,1707768044.2720451,0.4971129298210144,0.6079692840576172,0.5757262110710144,0.8671875,0.7908999919891357,0.8036999702453613,0.6385557651519775,0.5795254111289978,0.7842000126838684,0.7897999882698059,5460,14,0.6084863543510437,0.7960000038146973,0.781000018119812,0.7821999788284302,0.7997999787330627,0.7975000143051147,0.644734263420105,241.1417281627655,0.6274582743644714,0.6219800114631653,0.7871000170707703,False,0.839867,0.994937,rot180_and_or_transpose,cohen_small,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=rot180_and_or_transpose-augment=1.0-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,1.0,1.0,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
2,group=flipH_and_or_flipW-augment=1.0-dataset=fashion-seed2,0.29646196961402893,0.2988695800304413,21517,{'runtime': 1013},0.33932462334632874,0.3083156943321228,0.8794999718666077,0.8824999928474426,1707767786.650957,0.3733870387077331,0.3507944345474243,0.33288222551345825,0.8671875,0.8784000277519226,0.8938000202178955,0.38212403655052185,0.318242609500885,0.8651000261306763,0.8748000264167786,21450,55,0.3476443290710449,0.8978000283241272,0.8582000136375427,0.8622000217437744,0.88919997215271,0.890999972820282,0.3915652930736542,1018.0749971866608,0.3750280141830444,0.36094292998313904,0.8730999827384949,False,0.839867,0.994937,flipH_and_or_flipW,cohen_large,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=flipH_and_or_flipW-augment=1.0-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,1.0,1.0,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
3,group=flipH_and_or_flipW-augment=1.0-dataset=fashion-seed2,0.439975768327713,0.4339487850666046,11351,{'runtime': 479},0.4763534665107727,0.4451199173927307,0.8342000246047974,0.8359000086784363,1707766756.515689,0.5230016708374023,0.4978414177894592,0.471768856048584,0.796875,0.8355000019073486,0.8474000096321106,0.5232076048851013,0.45029351115226746,0.8224999904632568,0.8277000188827515,11310,29,0.4857358932495117,0.8450000286102295,0.8170999884605408,0.8205000162124634,0.8435999751091003,0.8474000096321106,0.5326826572418213,480.31951880455017,0.5160465836524963,0.5037006139755249,0.82669997215271,False,0.839867,0.994937,flipH_and_or_flipW,cohen_small,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=flipH_and_or_flipW-augment=1.0-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,1.0,1.0,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
4,group=antidiagonal_transpose-augment=1.0-dataset=fashion-seed2,0.31630098819732666,0.31177714467048645,21517,{'runtime': 979},0.3142738938331604,0.30771154165267944,0.8870000243186951,0.890500009059906,1707766261.5637176,0.28197941184043884,0.3169701397418976,0.31423065066337585,0.8984375,0.8892999887466431,0.8888999819755554,0.3217173218727112,0.31013619899749756,0.8848999738693237,0.8866000175476074,21450,55,0.3185872435569763,0.8881000280380249,0.885200023651123,0.8851000070571899,0.8870000243186951,0.8907999992370605,0.32392433285713196,980.7229826450348,0.32343366742134094,0.32047250866889954,0.888700008392334,False,0.839867,0.994937,antidiagonal_transpose,cohen_large,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=antidiagonal_transpose-augment=1.0-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,1.0,1.0,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
5,group=antidiagonal_transpose-augment=1.0-dataset=fashion-seed2,0.4714938998222351,0.47350800037384033,12133,{'runtime': 465},0.4656720757484436,0.47015923261642456,0.8353000283241272,0.8385000228881836,1707765263.7254677,0.5605997443199158,0.4758077561855316,0.4712197184562683,0.8125,0.8361999988555908,0.8324000239372253,0.4778144657611847,0.4627985954284668,0.8303999900817871,0.8325999975204468,12090,31,0.47038355469703674,0.8345000147819519,0.8305000066757202,0.8317999839782715,0.8375999927520752,0.8360999822616577,0.4832933247089386,466.40861773490906,0.4816854596138001,0.4780861437320709,0.8328999876976013,False,0.839867,0.994937,antidiagonal_transpose,cohen_small,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=antidiagonal_transpose-augment=1.0-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,1.0,1.0,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
6,group=flipH-augment=1.0-dataset=fashion-seed2,0.3675944209098816,0.366111159324646,13697,{'runtime': 635},0.3888792097568512,0.3724356591701507,0.8600999712944031,0.863099992275238,1707764782.5628984,0.33922404050827026,0.395548403263092,0.38192373514175415,0.875,0.8644000291824341,0.8733000159263611,0.41178637742996216,0.38120850920677185,0.8535000085830688,0.8607000112533569,13650,35,0.39360949397087097,0.869700014591217,0.8510000109672546,0.8543000221252441,0.8672000169754028,0.871399998664856,0.4173491597175598,636.2468953132629,0.40943443775177,0.40453091263771057,0.8532000184059143,False,0.839867,0.994937,flipH,cohen_large,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=flipH-augment=1.0-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,1.0,1.0,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
7,group=flipH-augment=1.0-dataset=fashion-seed2,0.5091783404350281,0.5089074969291687,7050,{'runtime': 289},0.5398297309875488,0.5179369449615479,0.8048999905586243,0.8125,1707764131.1108153,0.4497081041336059,0.5597892999649048,0.5309755802154541,0.8359375,0.8097000122070312,0.8222000002861023,0.584160566329956,0.5301969051361084,0.795799970626831,0.8033000230789185,7020,18,0.5554059147834778,0.8248000144958496,0.7926999926567078,0.7953000068664551,0.8151999711990356,0.8169000148773193,0.5955853462219238,290.45979738235474,0.5787875056266785,0.5746158957481384,0.7983999848365784,False,0.839867,0.994937,flipH,cohen_small,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=flipH-augment=1.0-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,1.0,1.0,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
8,group=transpose-augment=1.0-dataset=fashion-seed2,0.4065938293933869,0.3953296542167664,6659,{'runtime': 321},0.3971177339553833,0.39957913756370544,0.8549000024795532,0.8540999889373779,1707763825.1028082,0.3721157312393189,0.40223217010498047,0.40490102767944336,0.8671875,0.8604000210762024,0.857699990272522,0.4094615578651428,0.3989731371402741,0.8575999736785889,0.8579000234603882,6630,17,0.4078731834888458,0.857699990272522,0.8562999963760376,0.8560000061988831,0.8610000014305115,0.8571000099182129,0.40806645154953,322.70446133613586,0.4052838683128357,0.4096157252788544,0.85589998960495,False,0.839867,0.994937,transpose,cohen_large,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=transpose-augment=1.0-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,1.0,1.0,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
9,group=transpose-augment=1.0-dataset=fashion-seed2,0.5673478841781616,0.5641653537750244,4704,{'runtime': 193},0.5913791656494141,0.5713667273521423,0.7950000166893005,0.7958999872207642,1707763487.2006357,0.4594493806362152,0.5937625169754028,0.5903381109237671,0.8359375,0.792900025844574,0.8047999739646912,0.6155894994735718,0.5805043578147888,0.7860000133514404,0.7924000024795532,4680,12,0.597256064414978,0.8054999709129333,0.7854999899864197,0.786899983882904,0.7962999939918518,0.8036999702453613,0.6187101006507874,197.99894976615903,0.6116512417793274,0.5995779037475586,0.7940000295639038,False,0.839867,0.994937,transpose,cohen_small,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=transpose-augment=1.0-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,1.0,1.0,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
