,Name,_runtime,_step,_timestamp,_wandb,epoch,test_accuracy,test_loss,train_accuracy,train_loss,trainer/global_step,val_accuracy,val_loss,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,save_model,log_results,weight_decay,hidden_layers,learning_rate,hidden_group_channels
115,dashing-sweep-85,756.7787210941315,19230,1715613652.3718052,{'runtime': 755},41,0.9258999824523926,0.2395225167274475,0.9453125,0.1712665855884552,19188,0.9301131963729858,0.2173856943845749,False,0.9,0.999,translateW,22,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
116,glamorous-sweep-84,625.1502964496613,13132,1715612908.7853715,{'runtime': 623},28,0.9588000178337096,0.12325794994831084,0.9765625,0.06654860079288483,13104,0.9704527258872986,0.09033383429050446,False,0.9,0.999,translateW,21,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
117,copper-sweep-83,415.45963859558105,10788,1715612879.8130937,{'runtime': 414},23,0.9560999870300292,0.13525499403476715,0.953125,0.16660217940807345,10764,0.961546778678894,0.11461830884218216,False,0.9,0.999,translateW,21,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
118,super-sweep-82,463.60583090782166,9849,1715612269.423677,{'runtime': 462},21,0.932699978351593,0.2028099000453949,0.9609375,0.07476931810379028,9828,0.9408303499221802,0.18379199504852295,False,0.9,0.999,translateW,21,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
119,vague-sweep-81,628.4697618484497,15947,1715612446.029419,{'runtime': 627},34,0.8991000056266785,0.30125197768211365,0.90625,0.29611024260520935,15912,0.90645033121109,0.2935725152492523,False,0.9,0.999,translateW,21,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
120,youthful-sweep-80,448.0226089954376,9380,1715611793.15313,{'runtime': 446},20,0.9599000215530396,0.12657158076763153,0.9609375,0.10921431332826614,9360,0.966187596321106,0.10150089114904404,False,0.9,0.999,translateW,20,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
121,glowing-sweep-79,626.099155664444,16416,1715611803.0582807,{'runtime': 624},35,0.9563000202178956,0.1432988941669464,0.9453125,0.1076463982462883,16380,0.9641759991645812,0.10763880610466003,False,0.9,0.999,translateW,20,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
122,fluent-sweep-78,646.0422840118408,13601,1715611328.524092,{'runtime': 644},29,0.9419000148773192,0.17724694311618805,0.953125,0.22919291257858276,13572,0.9477163553237916,0.1618916541337967,False,0.9,0.999,translateW,20,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
123,daily-sweep-77,484.59899950027466,10318,1715610669.7234583,{'runtime': 483},22,0.9133999943733216,0.27361416816711426,0.890625,0.31205159425735474,10296,0.9146550893783568,0.2636629343032837,False,0.9,0.999,translateW,20,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
124,copper-sweep-76,743.1536190509796,18761,1715611162.386475,{'runtime': 741},40,0.9679999947547911,0.10069900751113892,0.96875,0.07779669761657715,18720,0.9780398607254028,0.06275977939367294,False,0.9,0.999,translateW,19,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
125,cosmic-sweep-75,377.3848042488098,9381,1715610404.975978,{'runtime': 376},20,0.9531000256538392,0.14838950335979462,0.9453125,0.2214579731225967,9360,0.9582331776618958,0.1297881156206131,False,0.9,0.999,translateW,19,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
126,dark-sweep-74,467.3221764564514,9849,1715610170.8939145,{'runtime': 466},21,0.9368000030517578,0.19838778674602509,0.9296875,0.21168938279151917,9828,0.9400540590286256,0.18735668063163757,False,0.9,0.999,translateW,19,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
127,magic-sweep-73,298.5858328342438,7505,1715610013.78331,{'runtime': 297},16,0.8816999793052673,0.37490972876548767,0.875,0.3449952304363251,7488,0.8830879330635071,0.3776671886444092,False,0.9,0.999,translateW,19,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
128,tough-sweep-72,264.4679594039917,6567,1715609698.8815415,{'runtime': 263},14,0.9520999789237976,0.14497777819633484,0.96875,0.08388908207416534,6552,0.9598106741905212,0.127056822180748,False,0.9,0.999,translateW,18,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
129,mild-sweep-71,777.6469888687134,16415,1715609691.18481,{'runtime': 776},35,0.9575999975204468,0.13158202171325684,0.984375,0.06842025369405746,16380,0.964768648147583,0.10573932528495789,False,0.9,0.999,translateW,18,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
