,Name,test40_accuracy,test70_accuracy,test100_accuracy,val_accuracy,test10_loss,val_loss,test0_accuracy,train_accuracy,test80_accuracy,test90_accuracy,trainer/global_step,_step,test100_loss,test20_accuracy,test60_accuracy,_runtime,_timestamp,test20_loss,test30_loss,test70_loss,test80_loss,test50_accuracy,_wandb,test50_loss,test10_accuracy,test40_loss,test30_accuracy,train_loss,test0_loss,test60_loss,test90_loss,epoch,cpu,group,model,aa_seed,augment,dataset,batch-size,batch_size,max-epochs,max_epochs,model_name,in_channels,log-results,log_results,model_save_dir,augment-probability,augment_probability,hidden_group_channels,use-float32-precision,use_float32_precision,sanity-check-equivariance,sanity_check_equivariance
0,group=rot180_and_or_transpose-augment=1.0-dataset=cifar-seed81967,0.8102999925613403,0.8080999851226807,0.7993999719619751,0.7973999977111816,0.5289217829704285,0.6025201082229614,0.8179000020027161,0.875,0.804099977016449,0.8015000224113464,13689,13740,0.5996772050857544,0.8148000240325928,0.8084999918937683,4284.02219581604,1706503330.904024,0.5414480566978455,0.5427972078323364,0.5633410811424255,0.5758816599845886,0.8073999881744385,{'runtime': 4282},0.5600361227989197,0.8170999884605408,0.5503106713294983,0.814300000667572,0.3590768873691559,0.523400604724884,0.5572100877761841,0.5864830613136292,39,False,rot180_and_or_transpose,resnet110,81967,rotflip,cifar,128,128,-1,-1,group=rot180_and_or_transpose-augment=1.0-dataset=cifar-seed81967,3,True,True,,1.0,1.0,24,True,True,False,False
1,group=rot180_and_or_transpose-augment=1.0-dataset=cifar-seed587432,0.6983000040054321,0.6980999708175659,0.6883000135421753,0.7044000029563904,0.8432049751281738,0.8409102559089661,0.7045999765396118,0.8046875,0.6904000043869019,0.6923999786376953,12285,12332,0.8778192400932312,0.6966999769210815,0.6992999911308289,1033.2675621509552,1706499493.750996,0.8545020222663879,0.8584880828857422,0.8654284477233887,0.868192195892334,0.6953999996185303,{'runtime': 1031},0.8534654378890991,0.70169997215271,0.8631086945533752,0.697700023651123,0.6214338541030884,0.8393248319625854,0.8496713042259216,0.8646549582481384,35,False,rot180_and_or_transpose,resnet20,587432,rotflip,cifar,128,128,-1,-1,group=rot180_and_or_transpose-augment=1.0-dataset=cifar-seed587432,3,True,True,,1.0,1.0,24,True,True,False,False
2,group=rot180_and_or_transpose-augment=1.0-dataset=cifar-seed168012,0.7458000183105469,0.7511000037193298,0.7491999864578247,0.7554000020027161,0.7716906666755676,0.7189005613327026,0.7433000206947327,0.8203125,0.7455000281333923,0.744700014591217,11934,11980,0.7264270186424255,0.7412999868392944,0.7513999938964844,1724.4238419532776,1706499033.3394198,0.7749298214912415,0.765938401222229,0.7377005219459534,0.7429490089416504,0.7491000294685364,{'runtime': 1723},0.745400607585907,0.7434999942779541,0.7634608149528503,0.743399977684021,0.5156558752059937,0.7791560292243958,0.7473499178886414,0.7335026860237122,34,False,rot180_and_or_transpose,resnet44,168012,rotflip,cifar,128,128,-1,-1,group=rot180_and_or_transpose-augment=1.0-dataset=cifar-seed168012,3,True,True,,1.0,1.0,24,True,True,False,False
3,group=rot180_and_or_transpose-augment=1.0-dataset=cifar-seed599105,0.7753000259399414,0.7777000069618225,0.7799000144004822,0.7793999910354614,0.6954576373100281,0.649133563041687,0.7688999772071838,0.8046875,0.7742999792098999,0.7803999781608582,18252,18316,0.6528424620628357,0.7712000012397766,0.7777000069618225,1563.1672921180725,1706498444.3230932,0.6959370970726013,0.6913701891899109,0.6584908962249756,0.6732910871505737,0.7721999883651733,{'runtime': 1561},0.678541362285614,0.769599974155426,0.6843405961990356,0.7696999907493591,0.5556478500366211,0.7011154294013977,0.6605837345123291,0.6516676545143127,52,False,rot180_and_or_transpose,cohen_large,599105,rotflip,cifar,128,128,-1,-1,group=rot180_and_or_transpose-augment=1.0-dataset=cifar-seed599105,3,True,True,,1.0,1.0,24,True,True,False,False
4,group=rot180_and_or_transpose-augment=1.0-dataset=cifar-seed265669,0.6086000204086304,0.6121000051498413,0.6209999918937683,0.6195999979972839,1.1062614917755127,1.0785223245620728,0.6085000038146973,0.71875,0.6205000281333923,0.6226999759674072,15444,15500,1.073245644569397,0.6103000044822693,0.6118999719619751,740.1398000717163,1706497293.049546,1.0997306108474731,1.099714756011963,1.0847020149230957,1.0772111415863037,0.6177999973297119,{'runtime': 738},1.0836225748062134,0.6085000038146973,1.0933338403701782,0.6097000241279602,0.8891999125480652,1.1033895015716553,1.0798113346099854,1.0712016820907593,44,False,rot180_and_or_transpose,cohen_small,265669,rotflip,cifar,128,128,-1,-1,group=rot180_and_or_transpose-augment=1.0-dataset=cifar-seed265669,3,True,True,,1.0,1.0,24,True,True,False,False
5,group=flipH_and_or_flipW-augment=1.0-dataset=cifar-seed247431,0.7961000204086304,0.8021000027656555,0.8102999925613403,0.8172000050544739,0.6475957632064819,0.5599063634872437,0.7849000096321106,0.9140625,0.8012999892234802,0.8083999752998352,16146,16203,0.5687727332115173,0.7908999919891357,0.8019000291824341,4984.0566165447235,1706500863.873551,0.6326321363449097,0.6325225830078125,0.5924765467643738,0.5918846726417542,0.8044999837875366,{'runtime': 4982},0.6027594208717346,0.786899983882904,0.6277766823768616,0.791700005531311,0.2729912996292114,0.6583224534988403,0.5987012982368469,0.5722525119781494,46,False,flipH_and_or_flipW,resnet110,247431,rotflip,cifar,128,128,-1,-1,group=flipH_and_or_flipW-augment=1.0-dataset=cifar-seed247431,3,True,True,,1.0,1.0,24,True,True,False,False
6,group=flipH_and_or_flipW-augment=1.0-dataset=cifar-seed662475,0.6870999932289124,0.7003999948501587,0.7242000102996826,0.7057999968528748,0.9515225291252136,0.836388885974884,0.6646999716758728,0.703125,0.7116000056266785,0.7124999761581421,12636,12684,0.8012802004814148,0.6758999824523926,0.6978999972343445,1063.1820743083954,1706496867.1368923,0.9328907132148744,0.9249220490455629,0.8603689670562744,0.8366419076919556,0.6886000037193298,{'runtime': 1062},0.8906502723693848,0.6711000204086304,0.9045320153236388,0.6782000064849854,0.8349140286445618,0.9713677763938904,0.8786168098449707,0.8291170001029968,36,False,flipH_and_or_flipW,resnet20,662475,rotflip,cifar,128,128,-1,-1,group=flipH_and_or_flipW-augment=1.0-dataset=cifar-seed662475,3,True,True,,1.0,1.0,24,True,True,False,False
7,group=flipH_and_or_flipW-augment=1.0-dataset=cifar-seed141329,0.7107999920845032,0.7199000120162964,0.7278000116348267,0.7376000285148621,0.8730360269546509,0.7606863975524902,0.699999988079071,0.7890625,0.7226999998092651,0.7289000153541565,8775,8812,0.7889137864112854,0.7032999992370605,0.7174000144004822,1285.6009194850922,1706496539.7781506,0.8635104298591614,0.85208660364151,0.8165670037269592,0.8064014911651611,0.7138000130653381,{'runtime': 1284},0.8368200063705444,0.7024000287055969,0.8451657295227051,0.7128000259399414,0.6265917420387268,0.8838965892791748,0.8249598741531372,0.7910680174827576,25,False,flipH_and_or_flipW,resnet44,141329,rotflip,cifar,128,128,-1,-1,group=flipH_and_or_flipW-augment=1.0-dataset=cifar-seed141329,3,True,True,,1.0,1.0,24,True,True,False,False
8,group=flipH_and_or_flipW-augment=1.0-dataset=cifar-seed336699,0.7788000106811523,0.7875000238418579,0.7878999710083008,0.7807999849319458,0.6818019151687622,0.6498250961303711,0.7766000032424927,0.8203125,0.7854999899864197,0.7929999828338623,21762,21836,0.6256242990493774,0.7803000211715698,0.7860999703407288,1721.9100017547607,1706495238.2229908,0.6729867458343506,0.6661328673362732,0.6407525539398193,0.6347585916519165,0.7892000079154968,{'runtime': 1720},0.655586838722229,0.7785000205039978,0.6628087759017944,0.7802000045776367,0.5033848285675049,0.6862224340438843,0.649082601070404,0.6203169226646423,62,False,flipH_and_or_flipW,cohen_large,336699,rotflip,cifar,128,128,-1,-1,group=flipH_and_or_flipW-augment=1.0-dataset=cifar-seed336699,3,True,True,,1.0,1.0,24,True,True,False,False
9,group=flipH_and_or_flipW-augment=1.0-dataset=cifar-seed962773,0.5683000087738037,0.5737000107765198,0.5849000215530396,0.5953999757766724,1.3029847145080566,1.1482322216033936,0.5435000061988831,0.6640625,0.5803999900817871,0.588699996471405,10530,10572,1.1621911525726318,0.5540000200271606,0.5716000199317932,521.8474102020264,1706493498.790732,1.283672332763672,1.2708752155303955,1.2020254135131836,1.2000972032546997,0.565500020980835,{'runtime': 520},1.238314151763916,0.5497999787330627,1.2518410682678225,0.5577999949455261,0.9682626724243164,1.318914532661438,1.2231630086898804,1.1709092855453491,30,False,flipH_and_or_flipW,cohen_small,962773,rotflip,cifar,128,128,-1,-1,group=flipH_and_or_flipW-augment=1.0-dataset=cifar-seed962773,3,True,True,,1.0,1.0,24,True,True,False,False
