,Name,fraction_single_pixel_polygons,val_loss,num_polygons,test_accuracy,smoothness_penalty,train_loss,smoothness_squared_penalty_per_polygon,smoothness_penalty_per_polygon,epoch,val_accuracy,train_accuracy,total_num_interpolations,_timestamp,trainer/global_step,expected_gradient_norm,fraction_polygons_counted,_step,_wandb,_runtime,test_loss,smoothness_squared_penalty,cpu,group,aa-seed,aa_seed,dropout,batch-norm,batch-size,batch_norm,batch_size,max-epochs,max_epochs,model_name,log-results,log_results,plot_polygons,model_save_dir,num-hidden-layers,num_hidden_layers,num-interpolations,num_interpolations,hidden_group_channels,full-conv-hidden-channels,full_conv_hidden_channels,sanity_check_equivariance
10,group=translate_H-full_conv_hc=3-bn=False-drop=0.0-seed19,0.03926659406769648,0.21452829241752625,10535.0,0.9330999851226808,11865.340836116404,0.17393025755882263,3.650374580550158,1.136523453752917,46.0,0.9384467005729676,0.9521484375,7500000.0,1709427935.4261148,2208.0,14.11305945390625,0.0014046666666666665,2263.0,{'runtime': 849},851.0539329051971,0.2104560285806656,36488.74628775638,False,translate_H,19,19,0,False,1024,False,1024,-1,-1,group=translate_H-full_conv_hc=3-bn=False-drop=0.0-seed19,True,True,False,,5,5,750000,750000,147.0,3,3,False
11,group=trivial-full_conv_hc=3-bn=False-drop=0.0-seed19,0.03752968445805892,0.2055548131465912,11587.0,0.9305999875068665,11794.899717380758,0.16897983849048617,3.6216592906490974,1.024518750507081,86.0,0.933763861656189,0.9453125,7500000.0,1709427622.369099,4128.0,14.402539284960936,0.0015449333333333334,4224.0,{'runtime': 1064},1066.0603849887848,0.21455512940883636,38500.38230405327,False,trivial,19,19,0,False,1024,False,1024,-1,-1,group=trivial-full_conv_hc=3-bn=False-drop=0.0-seed19,True,True,False,,5,5,750000,750000,147.0,3,3,False
12,group=translate_HW-full_conv_hc=1-bn=False-drop=0.0-seed19,0.035505981532577294,0.3020562529563904,2853.0,0.90420001745224,8437.336712639546,0.283852219581604,14.051479858549689,2.885542670215883,111.0,0.9079997539520264,0.916015625,7500000.0,1709426538.179025,5328.0,13.544679736490886,0.0003804,5449.0,{'runtime': 1519},1520.1889970302582,0.3052675724029541,39903.71238413852,False,translate_HW,19,19,0,False,1024,False,1024,-1,-1,group=translate_HW-full_conv_hc=1-bn=False-drop=0.0-seed19,True,True,False,,5,5,750000,750000,49.0,1,1,False
13,group=translate_H-full_conv_hc=1-bn=False-drop=0.0-seed19,0.04100197751534567,0.496250718832016,2945.0,0.8392000198364258,7443.29674638249,0.47076526284217834,15.263888807227428,2.4691262045463738,61.0,0.8478665351867676,0.8544921875,7500000.0,1709425000.3018925,2928.0,13.156314421875,0.0003926666666666667,2999.0,{'runtime': 937},938.085260629654,0.5037227272987366,46351.75090035825,False,translate_H,19,19,0,False,1024,False,1024,-1,-1,group=translate_H-full_conv_hc=1-bn=False-drop=0.0-seed19,True,True,False,,5,5,750000,750000,49.0,1,1,False
14,group=trivial-full_conv_hc=1-bn=False-drop=0.0-seed19,0.03715403298658782,0.4204846322536469,3749.0,0.8671000003814697,8764.162622284144,0.4114949405193329,12.58344832067744,2.3102508154217576,74.0,0.8656004667282104,0.8720703125,7500000.0,1709424045.7129934,3552.0,14.825541595052083,0.0004998666666666667,3636.0,{'runtime': 952},953.6356012821198,0.4121352434158325,48169.544362141285,False,trivial,19,19,0,False,1024,False,1024,-1,-1,group=trivial-full_conv_hc=1-bn=False-drop=0.0-seed19,True,True,False,,5,5,750000,750000,49.0,1,1,False
15,group=translate_HW-full_conv_hc=49-bn=False-drop=0.0-seed18,0.05406254926819468,0.1399397999048233,203754.0,0.9631999731063844,42984.38309588842,0.027041006833314896,0.2847695982338915,0.2110229054746417,18.0,0.9905328750610352,0.9912109375,7500000.0,1709427064.919176,864.0,25.036310149804684,0.0271672,891.0,{'runtime': 6128},6129.384637832642,0.1324174553155899,56246.346179550455,False,translate_HW,18,18,0,False,1024,False,1024,-1,-1,group=translate_HW-full_conv_hc=49-bn=False-drop=0.0-seed18,True,True,False,,5,5,750000,750000,2401.0,49,49,False
16,group=translate_H-full_conv_hc=49-bn=False-drop=0.0-seed18,0.0520246808949484,0.14099997282028198,176499.0,0.9621999859809875,18513.44396475388,0.07934115827083588,0.10323460348598426,0.10503596384248506,29.0,0.9687077403068542,0.96875,7500000.0,1709423076.8473911,1392.0,16.619959256184895,0.0235332,1431.0,{'runtime': 3094},3095.3943300247192,0.12796078622341156,18140.435845284333,False,translate_H,18,18,0,False,1024,False,1024,-1,-1,group=translate_H-full_conv_hc=49-bn=False-drop=0.0-seed18,True,True,False,,5,5,750000,750000,2401.0,49,49,False
17,group=trivial-full_conv_hc=49-bn=False-drop=0.0-seed18,0.04916023453308728,0.17456810176372528,154259.0,0.9502999782562256,12659.010662039276,0.16673828661441803,0.08573227294401316,0.08155292222757426,49.0,0.9505849480628968,0.9443359375,7500000.0,1709420917.1965573,2352.0,17.355437990364585,0.020567866666666663,2410.0,{'runtime': 2212},2217.690886259079,0.15870018303394318,13206.625140422271,False,trivial,18,18,0,False,1024,False,1024,-1,-1,group=trivial-full_conv_hc=49-bn=False-drop=0.0-seed18,True,True,False,,5,5,750000,750000,2401.0,49,49,False
18,group=translate_HW-full_conv_hc=19-bn=False-drop=0.0-seed18,0.04474403211796352,0.12993991374969482,95105.0,0.9627000093460084,42181.580049214885,0.031488656997680664,0.6458327935910664,0.44306057599970466,15.0,0.9871010184288024,0.9921875,7500000.0,1709419962.9161022,720.0,21.0080380578125,0.012680666666666665,745.0,{'runtime': 1885},1886.6456651687624,0.12420499324798584,60860.53491917162,False,translate_HW,18,18,0,False,1024,False,1024,-1,-1,group=translate_HW-full_conv_hc=19-bn=False-drop=0.0-seed18,True,True,False,,5,5,750000,750000,931.0,19,19,False
19,group=translate_H-full_conv_hc=19-bn=False-drop=0.0-seed18,0.04413174457710954,0.13884970545768738,81095.0,0.9621999859809875,23098.085505482275,0.06685314327478409,0.5742117869949155,0.28190631440301966,37.0,0.9713112115859984,0.9814453125,7500000.0,1709418682.8087811,1776.0,16.967633207942704,0.010812666666666668,1822.0,{'runtime': 1289},1290.5515520572662,0.12066365033388138,50665.76796507103,False,translate_H,18,18,0,False,1024,False,1024,-1,-1,group=translate_H-full_conv_hc=19-bn=False-drop=0.0-seed18,True,True,False,,5,5,750000,750000,931.0,19,19,False
