,Name,_runtime,_step,_timestamp,_wandb,epoch,expected_gradient_norm,"expected_gradient_norm(0, 8)","expected_gradient_norm(1, 9)","expected_gradient_norm(2, 5)","expected_gradient_norm(3, 7)","expected_gradient_norm(4, 1)","expected_gradient_norm(5, 3)","expected_gradient_norm(6, 4)","expected_gradient_norm(7, 6)","expected_gradient_norm(8, 2)","expected_gradient_norm(9, 0)",expected_knot_entropy,expected_knot_uniformity,"knot_entropy(0, 8)","knot_entropy(1, 9)","knot_entropy(2, 5)","knot_entropy(3, 7)","knot_entropy(4, 1)","knot_entropy(5, 3)","knot_entropy(6, 4)","knot_entropy(7, 6)","knot_entropy(8, 2)","knot_entropy(9, 0)","knot_uniformity(0, 8)","knot_uniformity(1, 9)","knot_uniformity(2, 5)","knot_uniformity(3, 7)","knot_uniformity(4, 1)","knot_uniformity(5, 3)","knot_uniformity(6, 4)","knot_uniformity(7, 6)","knot_uniformity(8, 2)","knot_uniformity(9, 0)","max_knots_countable(0, 8)","max_knots_countable(1, 9)","max_knots_countable(2, 5)","max_knots_countable(3, 7)","max_knots_countable(4, 1)","max_knots_countable(5, 3)","max_knots_countable(6, 4)","max_knots_countable(7, 6)","max_knots_countable(8, 2)","max_knots_countable(9, 0)","num_knots(0, 8)","num_knots(1, 9)","num_knots(2, 5)","num_knots(3, 7)","num_knots(4, 1)","num_knots(5, 3)","num_knots(6, 4)","num_knots(7, 6)","num_knots(8, 2)","num_knots(9, 0)","smoothness(0, 8)","smoothness(1, 9)","smoothness(2, 5)","smoothness(3, 7)","smoothness(4, 1)","smoothness(5, 3)","smoothness(6, 4)","smoothness(7, 6)","smoothness(8, 2)","smoothness(9, 0)",test_accuracy,test_loss,total_max_knots_countable,total_num_knots,total_smoothness,trainer/global_step,val_accuracy,val_loss,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,plot_knots,log_results,min_step_eps,weight_decay,hidden_layers,learning_rate,evaluate_batch_size,random_init_weights,hidden_group_channels,sanity_check_equivariance,ctrl_points_per_interpolation
0,legendary-sweep-250,2974.997093439102,13,1728867323.9765725,{'runtime': 2973},0,0.9840709567070008,1.211804986000061,0.7374157905578613,0.7907999753952026,1.0864381790161133,1.0486103296279907,0.9897488951683044,0.99033123254776,0.948209822177887,1.139542818069458,0.9879406094551086,2.659154459165151,0.0007322543708726003,2.321409063542303,2.8118363146413596,2.632791679027868,2.7713801442906085,2.8468228724543767,2.6084702263628152,2.3219937918149185,2.6345998559451314,2.6037181986227544,2.7527859190811235,0.0031114139081219894,6.905515508004986e-05,0.0008110540078363484,0.0005268323392286025,0.0004577316590548744,0.0009835097524752763,0.0002716122421438222,0.00022841221413213305,0.0002008002308716602,0.0013318900246207003,653056,980480,2840064,1500672,1161728,1610752,934912,1608192,1672704,1693696,54332,67839,70912,73202,78685,70705,58641,67374,73765,72409,953.9842336475848,970.6765538547188,1016.995262971148,725.671968176961,694.5716449958272,907.4351899325848,789.8610616698861,974.511407515034,280890.7673366526,677.8873372515664,0.7469000220298767,0.733051598072052,14656256,687864,288602.3619966679,0,0.7903245091438293,0.6030621528625488,False,0.9,0.999,antidiagonal_transpose,50,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,64,False,1000
1,misunderstood-sweep-249,1745.5703189373016,13,1728864333.085554,{'runtime': 1744},0,0.8043486475944519,0.9213526248931884,0.6319572925567627,0.6078395843505859,0.7197046279907227,0.9116768836975098,1.0336257219314575,0.8614128828048706,0.7844049334526062,0.7531401515007019,0.8857888579368591,2.6396226462011216,0.0008140593208079105,2.2964474531356274,2.7904261779910815,2.613869166617727,2.7535423569278255,2.8202186457373024,2.592070303271523,2.3032156734304436,2.6220065447126064,2.585183000411801,2.7335934486101507,0.0021276863631887067,0.00010366643709397826,0.0010254583078348077,0.000540343602013756,0.0004633659586637541,0.0011427949038685264,0.0005739719816245236,0.0003233960692073643,0.0011920282786334214,0.0011532765761489204,653056,980480,2840064,1500672,1161728,1610752,934912,1608192,1672704,1693696,40973,52732,55118,56100,60291,55378,43313,50939,55133,56696,718.8292187610641,405.123044796288,563.6998751088977,551.2566213523969,418.3483971077949,638.2396019883454,550.346191899851,778.0131551232189,513.4102948126383,467.2296440368518,0.7150999903678894,0.8169857859611511,14656256,526673,5604.496044987347,0,0.7416466474533081,0.7334034442901611,False,0.9,0.999,antidiagonal_transpose,50,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,48,False,1000
2,dulcet-sweep-248,763.2576901912689,13,1728862568.8660622,{'runtime': 761},0,0.7466060519218445,0.7136246562004089,0.6185885071754456,0.6418183445930481,0.7852169871330261,0.7939417362213135,0.8043439984321594,0.9114570021629332,0.7568801641464233,0.8224479556083679,0.6754956841468811,2.6157386879572244,0.000978724168364021,2.2536167074807754,2.762076171167835,2.600304888604981,2.7267395735001037,2.799193162681811,2.5712538101433884,2.2726365443821024,2.6035755358227535,2.559453940835689,2.714900420088969,0.0032830350197092175,7.581038850139493e-05,0.0009362585608343694,0.001027844959254573,0.0004517574054976442,0.0023942271909226623,0.0004875673229176564,0.00015717379329704574,0.000835931506706347,0.0009485023399872956,653056,980480,2840064,1500672,1161728,1610752,934912,1608192,1672704,1693696,26549,35435,35388,37078,38877,35630,29153,32749,34744,36436,251.1762593266321,262.57341323571745,777.9066694048233,300.5021796860965,275.1186460060999,384.0536505439086,426.4510143760126,302.989102155203,284.3602356123738,284.4882102054544,0.682200014591217,0.9038888812065125,14656256,342039,3549.6193805523217,0,0.7051482200622559,0.8425492644309998,False,0.9,0.999,antidiagonal_transpose,50,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,32,False,1000
3,wise-sweep-247,488.5561728477478,13,1728861786.9014478,{'runtime': 487},0,0.5623629689216614,0.5467352271080017,0.39171263575553894,0.4926787912845611,0.5149185061454773,0.7918319702148438,0.6228867769241333,0.5184880495071411,0.6826846599578857,0.5144592523574829,0.5240806341171265,2.606446136680088,0.0006001097158850651,2.248077246050805,2.750014596878116,2.6005981816776185,2.7265623096785845,2.7813727016013754,2.57064948732868,2.259297503249628,2.5856793825449564,2.5532161016538435,2.6971987971083173,0.0018555202902392487,0.00026872946649167455,0.0008316209477139794,0.0002628091332961814,0.0002932284004170982,0.0008424715554624112,0.0002041609418978605,0.0001008004482021839,0.0011641263347499213,0.0006084833570732578,653056,980480,2840064,1500672,1161728,1610752,934912,1608192,1672704,1693696,18802,26252,25678,27533,28597,26518,19886,24223,25210,26263,98.77968822515686,111.0951894963364,172.18689826421905,158.26225859031547,150.65326641889988,163.965928461781,2419.668491347489,22099.64343359985,80.53706684839563,131.37409104424296,0.623199999332428,1.1093894243240356,14656256,248962,25586.16631229669,0,0.6316506266593933,1.0721105337142944,False,0.9,0.999,antidiagonal_transpose,50,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,24,False,1000
4,lively-sweep-246,242.0749225616455,13,1728861281.126289,{'runtime': 240},0,0.5648905634880066,0.5074001550674438,0.5165190100669861,0.5171182751655579,0.5976226329803467,0.7880886793136597,0.5681048035621643,0.4983981251716614,0.6207795739173889,0.421730637550354,0.5367193818092346,2.594748878198076,0.0009934240025760775,2.244313479130928,2.7394743313826115,2.5920771452135147,2.709257984950952,2.7642491321362828,2.542158090417324,2.251763275031978,2.5774989404361444,2.548076187844284,2.6910481796047048,0.0011120434292376414,0.00010844498719100168,0.0018768953284407715,0.0014144665530236697,0.00023622170097034527,0.002936993103457621,0.0001734565236268898,4.733171643880524e-05,0.0010423561645964375,0.001026447652027622,653056,980480,2840064,1500672,1161728,1610752,934912,1608192,1672704,1693696,14369,19559,20087,19675,20878,17721,14837,17576,18130,19486,108.42428751996908,135.92519172932953,101.59461857310087,123.93017945664178,126.210146254376,117.07711527078207,176.60973295234726,103.68533300343552,45.5393827145017,328.9878355049077,0.5407000184059143,1.324531316757202,14656256,182318,1367.9838229793916,0,0.544611394405365,1.3064243793487549,False,0.9,0.999,antidiagonal_transpose,50,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,16,False,1000
5,colorful-sweep-245,3104.065229177475,13,1728861021.2919772,{'runtime': 3102},0,1.1974631547927856,1.784184813499451,0.9637492299079896,0.8902758955955505,1.033655881881714,1.1625081300735474,1.3582853078842163,1.1863884925842283,1.3662805557250977,1.0625203847885132,1.3880112171173096,2.6601590058887563,0.0009410298304755768,2.3207899222096113,2.815152289789321,2.6410854716091556,2.776703682969316,2.8476463370140053,2.6085312039949056,2.3250755404301735,2.636655416481938,2.598151372887586,2.745812865659998,0.002361562919349512,0.00016920031503227223,0.001200292907782536,0.0005272649286934337,0.0006883503848151126,0.0014406416507533944,0.0005370146847215046,0.0003066341126367569,0.001549365875204036,0.0011546867478937504,653056,980480,2840064,1500672,1161728,1610752,934912,1608192,1672704,1693696,54775,70177,76436,76924,82132,73345,62694,71408,71771,75329,1670.2746158521622,835.6280283974484,2356.434845345095,1068.188678406179,957.6411496233196,1896.9656910654155,1969.7955964654684,1507.1528026554734,1811.6013616044072,1210.9421242028477,0.7720999717712402,0.6784822344779968,14656256,714991,15284.624893617816,0,0.8272836804389954,0.48879626393318176,False,0.9,0.999,antidiagonal_transpose,49,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,64,False,1000
6,summer-sweep-244,1635.420192718506,13,1728857902.6129308,{'runtime': 1634},0,1.018144130706787,1.1981697082519531,0.8411160707473755,0.9354246854782104,0.8754314184188843,1.0952762365341189,1.2705000638961792,0.9493526220321656,1.0925934314727783,0.868118941783905,1.1126166582107544,2.6390159947143492,0.0008547297164020762,2.282813025047899,2.789573123007081,2.6195246621612416,2.755734844056782,2.825218709739316,2.5959366978591536,2.3018114197273913,2.6174703545707025,2.5750301575727974,2.7351931009593553,0.003001064779233831,7.911578311298855e-05,0.0014181237321331704,0.0004093864390175487,0.0004166008540792444,0.0009600901895064996,0.00023788583081694843,0.00022544174280563577,0.0018532180872543784,0.0007054150531412466,653056,980480,2840064,1500672,1161728,1610752,934912,1608192,1672704,1693696,37017,51185,51950,55483,59998,52427,43769,50225,51716,51851,715.0197216467932,591.0119191072881,3502.6982862669975,639.2490331726149,670.0812149494886,970.2087264861912,922.9233990348876,737.4242055937648,915.1587371313944,858.3315239171498,0.7057999968528748,0.8871824145317078,14656256,505621,10522.10676730657,0,0.7404246926307678,0.7561572790145874,False,0.9,0.999,antidiagonal_transpose,49,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,48,False,1000
7,ancient-sweep-243,760.752142906189,13,1728856249.997066,{'runtime': 759},0,0.7084100842475891,0.6579604744911194,0.6957528591156006,0.4553588330745697,0.6613034009933472,0.8516775369644165,0.8178837299346924,0.6867205500602722,0.6603591442108154,0.7119091153144836,0.8385927081108093,2.619947885205145,0.000913573963156782,2.2738938035799077,2.7661931532202537,2.6123765720215575,2.7353741832483776,2.8009377087149137,2.572476232638776,2.276281007188871,2.6038821799055656,2.551683149755073,2.7168495185557395,0.0006483948582364865,0.00018837567137870747,0.0016777969489863037,0.0006957939479187697,0.0003547032771202241,0.00232931795390053,0.0002459980106215709,4.860108179485164e-05,0.002300633640534582,0.0007031292662164357,653056,980480,2840064,1500672,1161728,1610752,934912,1608192,1672704,1693696,26097,35745,37129,36697,39931,35869,27674,34157,33856,36768,196.16147015045863,244.02855645422824,261.07073298678733,290.56330378877465,244.76699983375147,324.4818424344994,296.3951080123661,259.3658546328661,207.7290224920143,271.134274299955,0.6442000269889832,1.0386162996292114,14656256,343923,2595.6971650857013,0,0.654727578163147,1.002055048942566,False,0.9,0.999,antidiagonal_transpose,49,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,32,False,1000
8,golden-sweep-242,507.86298847198486,13,1728855474.6771505,{'runtime': 506},0,0.6203263401985168,0.6809982061386108,0.5849127173423767,0.47793805599212646,0.5659523606300354,0.7628766298294067,0.6123113036155701,0.5004254579544067,0.5932433605194092,0.6561183333396912,0.7288501262664795,2.604096043169498,0.001326911749143003,2.2549268957650384,2.758097819320271,2.5956503314269472,2.719496520600636,2.788703612767052,2.552073270640802,2.2646244879090105,2.585509988065521,2.5298479013927233,2.70067806614718,0.0003732907087806915,7.635240136102873e-05,0.001707477070723499,0.0014710362235805824,0.0003051658552028468,0.0030731804734994927,9.731337368261784e-05,0.00036534763893902313,0.005102290142274106,0.0006585047837915082,653056,980480,2840064,1500672,1161728,1610752,934912,1608192,1672704,1693696,19523,27763,27672,29162,29946,27813,20876,25061,27097,28377,136.43490634308364,2026.6212682114272,139.49977345525986,424.5732011018554,138.53061599633656,148.58978055330226,132.0343583072245,167.44690357602667,97.13807810586512,192.74187470495235,0.6345999836921692,1.053001880645752,14656256,263290,3603.6107603553337,0,0.6475961804389954,1.005993127822876,False,0.9,0.999,antidiagonal_transpose,49,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,24,False,1000
9,winter-sweep-241,229.14430809020996,13,1728854952.6571312,{'runtime': 227},0,0.6519954800605774,0.6405144333839417,0.6361626982688904,0.5247159600257874,0.5846930146217346,0.7934815883636475,0.6748887896537781,0.5204170346260071,0.7489286065101624,0.6328619718551636,0.7036013603210449,2.586845474647649,0.0014723959009785303,2.2348941841719467,2.735341414430541,2.5873945273082812,2.7086316718294237,2.7675908050106104,2.5320747981330056,2.243675231797745,2.571555819961133,2.503065835924607,2.690222268360488,0.0006562039883267465,7.676233057098128e-05,0.0005754395015942673,0.0012086728001379182,0.00031714807620604403,0.002986085893263338,0.0001455997579218079,0.0002795336002039758,0.007906639538555018,0.0007689827216844036,653056,980480,2840064,1500672,1161728,1610752,934912,1608192,1672704,1693696,12532,17162,18768,18512,18951,18045,13335,16565,16676,17203,122.57047565563698,152.10705081040942,181.18336390791228,137.449457034214,154.60228697124694,151.82349720739512,335.3282348440989,144.86581374477282,93.2406641608477,98.65217015353346,0.5936999917030334,1.1519049406051636,14656256,167749,1571.8230144900676,0,0.6038461327552795,1.1215667724609375,False,0.9,0.999,antidiagonal_transpose,49,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,16,False,1000
