,Name,_runtime,_step,_timestamp,epoch,train_accuracy,train_loss,trainer/global_step,val_accuracy,val_loss,_wandb,test_accuracy,test_loss,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,save_model,log_results,weight_decay,hidden_layers,learning_rate,hidden_group_channels,sanity_check_equivariance
17,deft-sweep-980,935.0695705413818,14468,1727679003.8510146,37.0,0.8984375,0.3477948307991028,14430,0.8659054636955261,0.3853187263011933,{'runtime': 933},0.7480999827384949,0.798974871635437,False,0.9,0.999,rot180,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,64,False
18,young-sweep-979,364.2001869678498,6649,1727678698.830875,17.0,0.703125,0.7116577625274658,6630,0.7371995449066162,0.7599902153015137,{'runtime': 363},0.7039999961853027,0.8851138949394226,False,0.9,0.999,rot180,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,48,False
19,valiant-sweep-978,481.89615297317505,7822,1727678467.6843,20.0,0.6640625,0.9098737239837646,7800,0.6598958373069763,0.9795206785202026,{'runtime': 480},0.6347000002861023,1.0897310972213743,False,0.9,0.999,rot180,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,32,False
20,fancy-sweep-977,270.44343852996826,4303,1727677970.2974324,11.0,0.5390625,1.2247141599655151,4290,0.6016426086425781,1.143721580505371,{'runtime': 269},0.5875999927520752,1.1907272338867188,False,0.9,0.999,rot180,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,24,False
21,earnest-sweep-976,486.54293179512024,9386,1727678318.370798,24.0,0.578125,1.135146141052246,9360,0.5940104126930237,1.1353676319122314,{'runtime': 485},0.5785999894142151,1.1807312965393066,False,0.9,0.999,rot180,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,16,False
22,comfy-sweep-975,800.8112301826477,11731,1727678052.7377205,30.0,0.828125,0.5600365996360779,11700,0.8338140845298767,0.4712720811367035,{'runtime': 799},0.7623999714851379,0.7049297094345093,False,0.9,0.999,rot180_and_or_transpose,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,64,False
23,swift-sweep-974,422.67467498779297,6258,1727677683.216733,16.0,0.71875,0.8203379511833191,6240,0.7150240540504456,0.8335648775100708,{'runtime': 421},0.6836000084877014,0.9436706304550172,False,0.9,0.999,rot180_and_or_transpose,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,48,False
24,eager-sweep-973,384.8513774871826,7040,1727677814.1881225,18.0,0.640625,0.9494389891624452,7020,0.6900240182876587,0.8877165913581848,{'runtime': 383},0.6682000160217285,0.960759162902832,False,0.9,0.999,rot180_and_or_transpose,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,32,False
25,confused-sweep-972,529.4260501861572,8212,1727677240.0360591,21.0,0.609375,1.1816487312316897,8190,0.6526241898536682,0.9809649586677552,{'runtime': 528},0.6381999850273132,1.034505844116211,False,0.9,0.999,rot180_and_or_transpose,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,24,False
26,amber-sweep-971,296.0145888328552,5476,1727677412.2400029,14.0,0.5390625,1.264803171157837,5460,0.5539863705635071,1.2522225379943848,{'runtime': 294},0.5412999987602234,1.295760989189148,False,0.9,0.999,rot180_and_or_transpose,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,16,False
