,Name,_runtime,_step,_timestamp,_wandb,epoch,expected_gradient_norm,"expected_gradient_norm(0, 8)","expected_gradient_norm(1, 9)","expected_gradient_norm(2, 5)","expected_gradient_norm(3, 7)","expected_gradient_norm(4, 1)","expected_gradient_norm(5, 3)","expected_gradient_norm(6, 4)","expected_gradient_norm(7, 6)","expected_gradient_norm(8, 2)","expected_gradient_norm(9, 0)",expected_knot_entropy,expected_knot_uniformity,"knot_entropy(0, 8)","knot_entropy(1, 9)","knot_entropy(2, 5)","knot_entropy(3, 7)","knot_entropy(4, 1)","knot_entropy(5, 3)","knot_entropy(6, 4)","knot_entropy(7, 6)","knot_entropy(8, 2)","knot_entropy(9, 0)","knot_uniformity(0, 8)","knot_uniformity(1, 9)","knot_uniformity(2, 5)","knot_uniformity(3, 7)","knot_uniformity(4, 1)","knot_uniformity(5, 3)","knot_uniformity(6, 4)","knot_uniformity(7, 6)","knot_uniformity(8, 2)","knot_uniformity(9, 0)","max_knots_countable(0, 8)","max_knots_countable(1, 9)","max_knots_countable(2, 5)","max_knots_countable(3, 7)","max_knots_countable(4, 1)","max_knots_countable(5, 3)","max_knots_countable(6, 4)","max_knots_countable(7, 6)","max_knots_countable(8, 2)","max_knots_countable(9, 0)","num_knots(0, 8)","num_knots(1, 9)","num_knots(2, 5)","num_knots(3, 7)","num_knots(4, 1)","num_knots(5, 3)","num_knots(6, 4)","num_knots(7, 6)","num_knots(8, 2)","num_knots(9, 0)","smoothness(0, 8)","smoothness(1, 9)","smoothness(2, 5)","smoothness(3, 7)","smoothness(4, 1)","smoothness(5, 3)","smoothness(6, 4)","smoothness(7, 6)","smoothness(8, 2)","smoothness(9, 0)",test_accuracy,test_loss,total_max_knots_countable,total_num_knots,total_smoothness,trainer/global_step,val_accuracy,val_loss,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,plot_knots,log_results,min_step_eps,weight_decay,hidden_layers,learning_rate,evaluate_batch_size,random_init_weights,hidden_group_channels,sanity_check_equivariance,ctrl_points_per_interpolation
0,celestial-sweep-1000,2580.0250174999237,13,1728091407.6880045,{'runtime': 2578},0,1.4144468307495115,1.357720971107483,1.2883723974227903,1.2041001319885254,1.2970337867736816,1.2284069061279297,1.5850415229797363,1.8776496648788452,1.592710256576538,1.6046099662780762,1.3302838802337646,2.6258419656097973,0.0009742064776091568,2.280006884201711,2.770046779689378,2.6095426299522995,2.7506157728390246,2.812458205208049,2.5634761105462207,2.2642364681993605,2.604616477356714,2.57915850379419,2.720033736387311,0.0028579409832832623,0.0001945438702526392,0.0013051721907396667,0.0005638939846366893,0.0004616047394719893,0.0016972925921233996,0.0005542875635005417,0.0004819983221299017,0.00129901765356532,0.001050043009279333,553984,948224,2834944,1500672,1119232,1691648,898560,1570304,1687040,1643008,47258,62960,66903,67904,72070,64594,53950,62416,65062,67213,4836.745088788652,2004.392743516466,6311.249957656051,3058.1742378527997,3396.2620563921228,5854.320297001017,5478.905063188984,5129.007673153712,9351.572899250255,5497.763433395536,0.7455000281333923,0.8152700066566467,14447616,630330,50918.3934501956,0,0.855629026889801,0.41109517216682434,False,0.9,0.999,rot180,50,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,64,False,1000
1,apricot-sweep-999,1672.436829328537,13,1728089830.7122254,{'runtime': 1671},0,1.16477632522583,1.216250777244568,0.9758697748184204,1.0037968158721924,0.988901913166046,1.2635200023651123,1.2742493152618408,1.3004251718521118,1.221197247505188,1.3068392276763916,1.1924670934677124,2.641973438476389,0.0007338738183994296,2.293994535267279,2.7907026575704457,2.6246589636372377,2.760855708714523,2.828126389109693,2.5918230525015,2.299747012737283,2.6225320369952865,2.587550836303505,2.729957843360923,0.002382790093026478,5.0015800442090026e-05,0.0008590616934296201,0.0004661107256565613,0.0004375608354451312,0.0012387808938464473,0.0004148175830903644,0.0001843956248382712,0.0008931638596283882,0.000989602497531919,653056,980480,2840064,1500672,1161728,1610752,934912,1608192,1672704,1693696,40553,52970,53292,56738,59319,54109,43990,51177,52324,55725,919.542552895844,756.6452091885731,1587.787454655394,796.7093994673342,1431.5015037097037,1245.4995584078133,1280.4118288308382,1109.3976097516716,2450.0938391191885,12209.801560116932,0.7282000184059143,0.8251351714134216,14656256,520197,23787.390516143292,0,0.8100160360336304,0.5407515168190002,False,0.9,0.999,rot180,50,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,48,False,1000
2,prime-sweep-998,661.2478380203247,13,1728088812.102269,{'runtime': 660},0,0.6241497993469238,0.8078570365905762,0.5498756766319275,0.385756254196167,0.566802978515625,0.683013916015625,0.6712108850479126,0.4293416738510132,0.6017404198646545,0.8661561012268066,0.6910520792007446,2.5892751603426833,0.0008967531442010675,2.2352146490247753,2.733020183585288,2.5926984408330194,2.697168692081356,2.7704842588911154,2.524067449152776,2.229501053035336,2.573251341592244,2.554011273399083,2.680362252302479,0.002031605293566012,8.508474585634674e-05,0.0008482674384746726,0.0007143191133320713,0.0004323278163509797,0.0025574668686184593,0.0004468051427658139,8.731077556594126e-05,0.0010148913887619295,0.0012060481659526045,553984,948224,2834944,1500672,1119232,1691648,898560,1570304,1687040,1643008,25658,32660,35309,35043,37250,35690,26457,31577,34529,35865,237.7332112609256,229.0419034558363,355.539629811703,483.4966582233974,104.5954914257727,206.57698008473017,130.46055805723518,193.25302678110165,258.24967503464086,278.5509920668592,0.6208000183105469,1.093155860900879,14447616,330038,2477.498126202202,0,0.6462740302085876,1.022379755973816,False,0.9,0.999,rot180,50,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,32,False,1000
3,magic-sweep-997,396.1397821903229,13,1728088134.669819,{'runtime': 394},0,0.4891864359378814,0.37542304396629333,0.4606324136257171,0.3306668698787689,0.38314729928970337,0.7412824034690857,0.48539188504219055,0.3682641088962555,0.4664061367511749,0.5115373730659485,0.652877151966095,2.5817563967547783,0.0008924846624179456,2.21567855068575,2.7236678852918077,2.5803472165270307,2.6989622851115884,2.7585206912942297,2.529448661412471,2.213940560243004,2.559502751091274,2.5504567872017017,2.6777793437973267,0.0027081514871413275,0.00011292540022097124,0.001732578193545674,0.00042299326520831986,0.0003553371083284397,0.0015262246136992295,0.0003885783682259517,5.065912089270572e-05,0.0006010552268623164,0.0016015271109273365,553984,948224,2834944,1500672,1119232,1691648,898560,1570304,1687040,1643008,19600,25903,27073,28136,28847,26747,19655,24008,26432,28089,664.8819814037051,28.36675848523464,89.83106513959501,61.437624121812405,45.56467029934038,88.48385337169475,75.99474628841472,53.33486443286483,68.81461619772608,81.14869280868879,0.5648999810218811,1.2410253286361694,14447616,254490,1257.8588725490768,0,0.5799278616905212,1.1926318407058716,False,0.9,0.999,rot180,50,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,24,False,1000
4,vital-sweep-996,197.67970037460327,13,1728087724.5507257,{'runtime': 196},0,0.5659464001655579,0.5919018387794495,0.5508530735969543,0.4120534658432007,0.46885380148887634,0.6300908923149109,0.5942801833152771,0.6818116903305054,0.48626476526260376,0.5483713150024414,0.7272006273269653,2.564065409815454,0.001332645938834198,2.1978836430630517,2.7042950794021285,2.5659623278627928,2.678021039097871,2.735585805907875,2.5098792111392045,2.2057176499443036,2.559828621163904,2.502622781525335,2.67370741750487,0.0016057050143617648,0.00029391321246572945,0.0019248231271227264,0.001360156520966157,0.0004553215180966578,0.0024196267699276796,0.00010413841880296952,0.0003849799485358074,0.004508274772451861,0.0004722404410314725,553984,948224,2834944,1500672,1119232,1691648,898560,1570304,1687040,1643008,12660,17452,16418,16904,18295,16402,11453,14775,18533,17656,150.09376874803047,26.217539558281715,63.14326678714315,73.85876160057023,32.86220943273611,63.20887139745173,38.224769151019245,73.12703856016697,36.718714098493706,31.897430651684772,0.5641000270843506,1.2181836366653442,14447616,160548,589.3523699855781,0,0.5815304517745972,1.1762551069259644,False,0.9,0.999,rot180,50,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,16,False,1000
5,pleasant-sweep-995,2846.572796344757,12,1728089543.7336404,{'runtime': 2845},0,1.38917076587677,1.8772941827774048,1.151217699050903,1.1345298290252686,1.334696888923645,1.6190602779388428,1.469878077507019,1.1177988052368164,1.2876954078674316,1.319545865058899,1.6234817504882812,2.6638758093180264,0.0009603870888784338,2.326503419742412,2.814366679905959,2.638003890879869,2.7749644339319843,2.85055834268622,2.6173673123355155,2.335043959152836,2.645508989492969,2.6066585219627108,2.749877715737613,0.0034343784614380116,0.00010447140370070823,0.00101885594360183,0.0007316005247197491,0.0011076612037600364,0.001450239554183172,0.0002603836777117903,0.0002919263528357587,0.0004829673203452627,0.0013319538720340687,690944,980224,2822144,1542144,1166848,1588736,964608,1608192,1695232,1725952,57403,68061,73838,74538,82905,73192,65376,72201,70123,73978,3194.3036374785006,1655.8045949041843,3798.4494939930737,2720.723642371595,31232.518621362746,2816.640266150236,3131.8597084209323,2229.398039370775,3439.3026942797005,12945.560848321766,0.7652000188827515,0.7444586753845215,14785024,711615,67164.56154665351,0,0.8468950390815735,0.4337390661239624,False,0.9,0.999,rot180_and_or_transpose,50,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,64,False,1000
6,clear-sweep-994,1699.0564756393433,13,1728088141.4040575,{'runtime': 1697},0,1.13755464553833,1.2800755500793457,1.151028394699097,0.7916890382766724,1.0063563585281372,1.3812589645385742,1.170102596282959,1.055492639541626,1.0327717065811155,1.1809980869293213,1.304842233657837,2.64058329440998,0.0009815917185023752,2.2857231586937026,2.789670088512164,2.626496738805443,2.755635325934911,2.82437296040524,2.593057113617606,2.2982811912884618,2.6190876596414068,2.596891410124467,2.7262755971025197,0.004966204195283696,0.0001200142252077654,0.001336140221210282,0.000626994729362784,0.0005943168279695987,0.0017557903590829102,8.49834234928257e-05,8.8022209002344e-05,0.0001295935854698336,0.0012444662765808791,653056,980480,2840064,1500672,1161728,1610752,934912,1608192,1672704,1693696,43340,52230,53512,57280,60136,53885,41670,50232,58159,56155,1639.0434118323028,7229.384516496211,1126.8993477486074,1111.6789889205247,5118.149644400924,1402.837403845042,1293.8425770774484,1110.7883995771408,1283.3491003662348,1838.974705405533,0.739300012588501,0.7734656929969788,14656256,526599,23154.94809566997,0,0.8127403855323792,0.5331363677978516,False,0.9,0.999,rot180_and_or_transpose,50,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,48,False,1000
7,whole-sweep-993,720.2026586532593,12,1728086680.8700798,{'runtime': 718},0,0.7356322407722473,0.6437627673149109,0.6783314347267151,0.5170590877532959,0.7057161331176758,1.0079083442687988,0.7019293904304504,0.7312446236610413,0.7257773876190186,0.6945103406906128,0.8692193627357483,2.621073327010738,0.0010456173258795347,2.281621727466936,2.772839326538614,2.606904953730753,2.734785608887788,2.798974063569104,2.5765137942861625,2.2797925740563167,2.5988789499603087,2.559128683663629,2.7167557256212165,0.0022018190076668917,0.0001905988480688195,0.0014763624353757367,0.0006378119456446135,0.0006429331978822873,0.0017879880007957494,0.00030454704559554314,0.00027150823283044053,0.002330308005172173,0.0010493986287998013,690944,980224,2822144,1542144,1166848,1588736,964608,1608192,1695232,1725952,29030,37026,38109,38329,40125,37035,28709,34231,37842,37267,341.6607300317846,303.20138051826507,394.5427927065175,281.13439789251424,270.4214574646903,328.1732349168742,416.47221991280094,285.42346155806445,269.52397831116104,256.083455388085,0.61080002784729,1.109338641166687,14785024,357703,3146.6371087007574,0,0.6272836327552795,1.0648852586746216,False,0.9,0.999,rot180_and_or_transpose,50,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,32,False,1000
8,dandy-sweep-992,555.8816821575165,13,1728086424.5550482,{'runtime': 554},0,0.6170252561569214,0.5881492495536804,0.627541184425354,0.5541527271270752,0.5594336986541748,0.7004493474960327,0.5311201810836792,0.6778676509857178,0.6539027690887451,0.5660842657089233,0.698566734790802,2.61133877596913,0.0009637989624574596,2.2655399469237203,2.756874095159632,2.602471047773606,2.7281435889934897,2.7857145003101875,2.567922799198195,2.264419881696548,2.594538030349119,2.547131251110508,2.711336258199381,0.0011580759792488946,0.00020986663236091625,0.0021527223277012786,0.0003212086719181642,0.0008338915376080311,0.00111869209836987,0.00041375808062350165,0.00022612072482686764,0.002649257114374704,0.0007291327106223752,653056,980480,2840064,1500672,1161728,1610752,934912,1608192,1672704,1693696,22038,29720,29725,30597,32421,28495,25239,28634,29178,30439,104.16202245882596,314.56205886462703,863.8814558435697,224.79351129150015,290.84298091428354,486.8867598945508,253.12135227851104,226.81077859189827,107.37641486420762,262.78214101830963,0.5771999955177307,1.2518186569213867,14656256,286486,3135.219476020284,0,0.5938100814819336,1.204026699066162,False,0.9,0.999,rot180_and_or_transpose,50,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,24,False,1000
9,super-sweep-991,224.31263971328735,12,1728085944.6193137,{'runtime': 222},0,0.6808286905288696,0.7148985862731934,0.654312789440155,0.552562415599823,0.5142088532447815,0.9484363198280334,0.7494906187057495,0.5564566850662231,0.5300617218017578,0.6284484267234802,0.8869101405143738,2.5906240640574945,0.001283735428306069,2.2471391502057374,2.7316180839033644,2.5841209937425855,2.707710265910012,2.768355304681571,2.5544670674430625,2.251600580193018,2.5834152802432815,2.5095342986669635,2.684036359515922,0.0008340812885678114,0.0002972112030049456,0.0027979239314221828,0.0003101069923655801,0.000781131404912674,0.0006206096222222035,0.0005213295642805407,0.00014691126867811727,0.0064204700002595885,0.0003531550231785703,690944,980224,2822144,1542144,1166848,1588736,964608,1608192,1695232,1725952,12784,18986,17103,18416,19636,17169,14500,16441,18046,18677,157.7764187301018,169.12166067607177,158.72193178722227,4795.550800534402,148.33448348506136,173.74640786008968,174.2494207364216,152.24411993489775,110.01630962718627,808.2819872403925,0.5332000255584717,1.331514835357666,14785024,171758,6848.043540611847,0,0.5518429279327393,1.2743293046951294,False,0.9,0.999,rot180_and_or_transpose,50,rot90flip,cifar10,0,3,50000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,16,False,1000
