,Name,val_loss,val_accuracy,test_accuracy,total_num_knots,_runtime,total_smoothness,trainer/global_step,expected_knot_entropy,expected_gradient_norm,expected_knot_uniformity,_step,_timestamp,epoch,test_loss,total_max_knots_countable,_wandb,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,plot_knots,log_results,min_step_eps,weight_decay,hidden_layers,learning_rate,evaluate_batch_size,random_init_weights,hidden_group_channels,sanity_check_equivariance,ctrl_points_per_interpolation
12,sleek-sweep-2988,0.00976537261158228,0.9971428513526917,1.0,525,2.236823558807373,3184.96830356121,0,2.126699499582548,7.918957710266113,0.0045389128519214075,2,1715986110.6501346,0,0.005692324135452509,19922944.0,{'runtime': 0},True,0.9,0.999,flipH,50,flipH_and_or_flipW,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,32,False,1000
13,stoic-sweep-2987,0.011555678211152554,0.9957500100135804,0.9961249828338624,509,3.239570140838623,8844.06664274633,0,2.1371837593378755,12.255155563354492,0.007805199594615901,2,1715986090.2503731,0,0.013222734443843365,19922944.0,{'runtime': 1},True,0.9,0.999,flipH,50,flipH_and_or_flipW,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,32,False,1000
14,light-sweep-2986,0.012635130435228348,0.99785715341568,0.9975000023841858,436,2.25042986869812,2486.8395547270775,0,2.043594374037859,6.707559585571289,0.0029171203326419674,2,1715986073.193106,0,0.012678875587880611,19922944.0,{'runtime': 0},True,0.9,0.999,flipH,50,flipH_and_or_flipW,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,24,False,1000
15,polar-sweep-2985,0.01589260809123516,0.9940357208251952,0.9944999814033508,443,3.058420181274414,5726.4989969953895,0,2.165654712531968,10.285737991333008,0.0019079598509401615,2,1715986057.8960931,0,0.014433388598263264,19922944.0,{'runtime': 1},True,0.9,0.999,flipH,50,flipH_and_or_flipW,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,24,False,1000
16,breezy-sweep-2984,0.011278783902525902,0.9992856979370116,1.0,246,2.2332334518432617,5806.480293752626,0,1.8718077946539329,7.337429046630859,0.007203325332519076,2,1715986035.5527554,0,0.009282615967094898,19922944.0,{'runtime': 0},True,0.9,0.999,flipH,50,flipH_and_or_flipW,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,16,False,1000
17,whole-sweep-2983,0.011538210324943066,0.9963571429252625,0.9944999814033508,262,3.1963741779327393,15064.363821089268,0,2.2024035677909266,12.436568260192873,0.004484432006827682,2,1715986015.190977,0,0.014740534126758575,19922944.0,{'runtime': 1},True,0.9,0.999,flipH,50,flipH_and_or_flipW,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,16,False,1000
18,whole-sweep-2982,0.010135941207408903,0.9992856979370116,0.9975000023841858,253,2.2296628952026367,3865.611384868622,0,2.136046018985628,8.046319007873535,0.0055658111336339255,2,1715985998.1261618,0,0.012171673588454723,19922944.0,{'runtime': 0},True,0.9,0.999,flipH,50,flipH_and_or_flipW,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,12,False,1000
19,deft-sweep-2981,0.012158289551734924,0.9960356950759888,0.996874988079071,243,3.4639594554901123,9180.817858934402,0,2.0948548823005777,11.952225685119627,0.003304527182263496,2,1715985978.0581863,0,0.009664292447268965,19922944.0,{'runtime': 1},True,0.9,0.999,flipH,50,flipH_and_or_flipW,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,12,False,1000
20,royal-sweep-2980,0.018060877919197083,0.9992856979370116,0.9925000071525574,691,2.317892551422119,3143.4798107147217,0,2.2621869313475207,7.535980224609375,0.002128564906189282,2,1715985948.7918975,0,0.02562764100730419,19922944.0,{'runtime': 0},True,0.9,0.999,trivial,50,flipH_and_or_flipW,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,44,False,1000
21,neat-sweep-2979,0.02293100766837597,0.9933571219444276,0.993749976158142,591,3.227539539337158,10092.97505560465,0,2.234789050834337,12.89956283569336,0.004612684023759041,2,1715985933.6817365,0,0.02233862690627575,19922944.0,{'runtime': 1},True,0.9,0.999,trivial,50,flipH_and_or_flipW,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,44,False,1000
22,quiet-sweep-2978,0.017466522753238678,0.99571430683136,1.0,456,2.3179309368133545,3946.228207588196,0,2.094057720852425,8.327195167541504,0.003629666930310862,2,1715985916.6839008,0,0.014776092022657394,19922944.0,{'runtime': 0},True,0.9,0.999,trivial,50,flipH_and_or_flipW,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,32,False,1000
23,bright-sweep-2977,0.01328067108988762,0.9958214163780212,0.9959999918937684,441,3.043766498565674,9178.19563293457,0,2.234295843843925,13.026856422424316,0.0032149610918429535,2,1715985901.3839624,0,0.01434281188994646,19922944.0,{'runtime': 1},True,0.9,0.999,trivial,50,flipH_and_or_flipW,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,32,False,1000
24,dry-sweep-2976,0.036255382001399994,0.99571430683136,0.9950000047683716,355,2.1975183486938477,2042.311860948801,0,2.1692917243936125,5.622313022613525,0.002899746019151484,2,1715985879.4343393,0,0.033346280455589294,19922944.0,{'runtime': 0},True,0.9,0.999,trivial,50,flipH_and_or_flipW,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,24,False,1000
25,pious-sweep-2975,0.013744372874498367,0.9956071376800536,0.9952499866485596,367,3.036144733428955,12082.009922068566,0,2.2031404921224462,12.450047492980955,0.0032321596747658687,2,1715985864.0609488,0,0.016232561320066452,19922944.0,{'runtime': 1},True,0.9,0.999,trivial,50,flipH_and_or_flipW,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,24,False,1000
