,Name,_timestamp,num_polygons,test_accuracy,smoothness_penalty,expected_gradient_norm,fraction_polygons_counted,_wandb,test_loss,smoothness_squared_penalty_per_polygon,val_accuracy,smoothness_penalty_per_polygon,_step,val_loss,fraction_single_pixel_polygons,epoch,total_num_interpolations,train_accuracy,trainer/global_step,smoothness_squared_penalty,_runtime,train_loss,cpu,pool,group,aa-seed,aa_seed,augment,dropout,ablation,batch-norm,batch-size,batch_norm,batch_size,max-epochs,max_epochs,model_name,log-results,log_results,plot_polygons,model_save_dir,num-interpolations,num_interpolations,hidden-group-channels,hidden_group_channels,sanity_check_equivariance,patience
10,group=D4-group-hc=96-bn=True-drop=0.0-pool=max-seed16,1705160531.68902,2119483,0.9507200121879578,16193.887739066036,4.048398664274089,0.14129886666666666,{'runtime': 1508},0.15892234444618225,0.0006941538723373179,0.9609700441360474,0.008126097914633652,210,0.15297529101371765,0.4267906306683512,20,15000000,0.97265625,180,1323.5224689555323,1509.6644988059998,0.09070496261119844,False,max,D4,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=D4-group-hc=96-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,96,96,False,5.0
11,group=D4-group-hc=68-bn=True-drop=0.0-pool=max-seed16,1705159376.7319183,1018483,0.9602199792861938,60612.07477581501,4.6037427246256515,0.06789886666666667,{'runtime': 1282},0.12719568610191345,0.011899642220493748,0.9693484306335448,0.060202941955256974,430,0.12417806684970856,0.07758870799007811,42,15000000,0.9765625,378,11644.818536248058,1283.178539276123,0.06939224898815155,False,max,D4,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=D4-group-hc=68-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,68,68,False,
12,group=D4-group-hc=48-bn=True-drop=0.0-pool=max-seed16,1705159006.4656546,592497,0.958180010318756,14186.068303166629,3.7784814991373694,0.0394998,{'runtime': 1204},0.12995323538780212,0.0037609171141851534,0.964300572872162,0.0246258908631287,350,0.13027606904506683,0.29427827643634913,34,15000000,0.9716796875,306,2132.0084178312327,1205.4064276218414,0.10052459686994553,False,max,D4,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=D4-group-hc=48-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,48,48,False,5.0
13,group=D4-group-hc=34-bn=True-drop=0.0-pool=max-seed16,1705158075.915907,843371,0.9374799728393556,54866.254933550954,3.7973031331298825,0.05622473333333333,{'runtime': 1073},0.19784146547317505,0.01468268140927983,0.9463988542556764,0.0651397254206103,380,0.19749267399311063,0.06693587589249354,37,15000000,0.955078125,333,11952.623835842474,1074.274806022644,0.14671732485294342,False,max,D4,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=D4-group-hc=34-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,34,34,False,
14,group=D4-group-hc=24-bn=True-drop=0.0-pool=max-seed16,1705157786.5023885,179792,0.9427400231361388,6160.582195843039,3.450886784391276,0.011986133333333333,{'runtime': 972},0.18465976417064667,0.00782902063507725,0.946606993675232,0.03400669619375389,400,0.1807968318462372,0.14980328375313726,39,15000000,0.9287109375,351,1368.7082682779808,974.2226305007936,0.2051265686750412,False,max,D4,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=D4-group-hc=24-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,24,24,False,5.0
15,group=trivial-group-hc=96-bn=True-drop=0.0-pool=max-seed16,1705156986.1754646,1023313,0.9375,28348.4485809803,4.155368505916341,0.06822086666666667,{'runtime': 1460},0.19382186233997345,0.005180759818505387,0.9442651867866516,0.027990451728173393,400,0.20276327431201935,0.07706698577792379,39,15000000,0.9521484375,351,5223.66466860217,1462.110637664795,0.15392930805683136,False,max,trivial,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=trivial-group-hc=96-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,96,96,False,
16,group=trivial-group-hc=68-bn=True-drop=0.0-pool=max-seed16,1705156796.922732,1471560,0.938380002975464,14938.09108984028,3.769413925179036,0.098104,{'runtime': 1350},0.19015391170978543,0.0010971328350782533,0.9453060030937196,0.0110771746964746,440,0.1925462782382965,0.3837121550650699,43,15000000,0.9423828125,387,1345.8457601542991,1351.6351380348206,0.16518829762935638,False,max,trivial,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=trivial-group-hc=68-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,68,68,False,5.0
17,group=trivial-group-hc=48-bn=True-drop=0.0-pool=max-seed16,1705155506.5120769,890956,0.9247999787330629,39595.240308105946,3.702483614339192,0.059397066666666665,{'runtime': 1092},0.2351321130990982,0.008322935924729113,0.927976667881012,0.04503968595330986,290,0.23508571088314056,0.06913803596619687,28,15000000,0.9287109375,252,7350.180405273102,1093.7095589637756,0.21419768035411835,False,max,trivial,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=trivial-group-hc=48-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,48,48,False,
18,group=trivial-group-hc=34-bn=True-drop=0.0-pool=max-seed16,1705155429.078834,265066,0.916599988937378,7057.082719451326,4.018958116764323,0.017671066666666665,{'runtime': 1062},0.25754278898239136,0.0061143082372342086,0.9237093925476074,0.026066779610842493,400,0.26089903712272644,0.16903307803976209,39,15000000,0.9228515625,351,1594.712574396057,1063.728374004364,0.24489326775074005,False,max,trivial,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=trivial-group-hc=34-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,34,34,False,5.0
19,group=trivial-group-hc=24-bn=True-drop=0.0-pool=max-seed16,1705154392.7820466,369545,0.9027600288391112,20141.67823801608,3.7969019893636062,0.024636333333333336,{'runtime': 907},0.3103446066379547,0.012458274916685002,0.9038822054862976,0.05442447034932305,320,0.31629934906959534,0.04631549673340109,31,15000000,0.9072265625,279,4659.528147890714,908.5515775680542,0.29012244939804077,False,max,trivial,16,16,rotflip,0,False,True,1024,True,1024,-1,-1,group=trivial-group-hc=24-bn=True-drop=0.0-pool=max-seed16,True,True,False,,1500000,1500000,24,24,False,
