,Name,"knot_entropy(9, 4)",trainer/global_step,"expected_gradient_norm(6, 0)","knot_entropy(4, 6)","max_knots_countable(9, 4)","expected_gradient_norm(1, 7)","num_knots(9, 4)","smoothness(7, 9)","knot_uniformity(0, 2)",expected_knot_uniformity,"max_knots_countable(6, 0)","expected_gradient_norm(0, 2)","expected_gradient_norm(5, 8)","num_knots(0, 2)",total_num_knots,"knot_entropy(8, 1)","max_knots_countable(4, 6)",total_max_knots_countable,_wandb,epoch,"max_knots_countable(0, 2)","max_knots_countable(1, 7)",val_loss,"smoothness(6, 0)","knot_uniformity(8, 1)","expected_gradient_norm(7, 9)","knot_uniformity(7, 9)",expected_gradient_norm,"expected_gradient_norm(2, 3)",test_loss,"num_knots(6, 0)","smoothness(2, 3)","knot_entropy(3, 5)","knot_uniformity(6, 0)","expected_gradient_norm(4, 6)","max_knots_countable(5, 8)","expected_gradient_norm(3, 5)","num_knots(1, 7)","smoothness(3, 5)","knot_entropy(1, 7)","knot_uniformity(2, 3)","max_knots_countable(2, 3)","max_knots_countable(3, 5)","expected_gradient_norm(9, 4)","num_knots(2, 3)","num_knots(5, 8)","smoothness(9, 4)",expected_knot_entropy,"knot_uniformity(4, 6)","num_knots(3, 5)","knot_entropy(2, 3)",_step,"knot_uniformity(9, 4)","max_knots_countable(7, 9)","max_knots_countable(8, 1)",total_smoothness,"knot_entropy(6, 0)","knot_uniformity(5, 8)",_timestamp,test_accuracy,"smoothness(0, 2)","smoothness(1, 7)","smoothness(5, 8)",_runtime,"num_knots(8, 1)","knot_uniformity(1, 7)","expected_gradient_norm(8, 1)",val_accuracy,"num_knots(4, 6)","smoothness(8, 1)","knot_entropy(0, 2)","num_knots(7, 9)","smoothness(4, 6)","knot_entropy(5, 8)","knot_entropy(7, 9)","knot_uniformity(3, 5)",cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,plot_knots,log_results,min_step_eps,weight_decay,hidden_layers,learning_rate,evaluate_batch_size,random_init_weights,hidden_group_channels,ctrl_points_per_interpolation
0,cerulean-sweep-1000,1.116153456716038,0,2.036695957183838,1.7351596422242164,953856.0,2.322899341583252,7809,1517.3093584736962,1.582366451639176e-05,0.00010688697841812796,1284992.0,3.1703901290893555,2.1588714122772217,21378,145890,1.864975919449245,2088192.0,18049664.0,{'runtime': 558},0,1473280.0,3040512.0,0.04415380954742432,1343.6598836118355,0.00012649206781486277,1.811892867088318,1.2525966475212175e-05,2.3724043369293213,2.5911920070648193,0.06419569253921509,16627,1352.3517921721796,1.474706005131481,0.0001595220950128726,2.249999523162842,1666816.0,2.3148698806762695,15292,1288.423072205649,1.8082585308955172,8.856399585270158e-05,1523712.0,1241856.0,2.3795127868652344,16230,12401,1582.5960521802117,1.72053168060975,4.4756362667385296e-05,11631,1.7758454147205,12,0.000477755282370609,1547008.0,3229440.0,20569.259782494155,1.9009250960409831,0.00015527992606417112,1715805196.8022206,0.9797000288963318,1523.98805073346,1467.0538109069455,1798.7433175024053,559.6917216777802,17293,8.199268250718098e-05,2.296250820159912,0.9850761294364928,16782,7073.374754559598,2.024373899051257,10447,1621.7596901481738,1.4443906474994377,1.4207722274277836,7.54027171342884e-05,False,0.9,0.999,D4,50,rotflip,mnist,0,3,60000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,64,1000
1,worldly-sweep-999,1.1621559457172488,0,1.6127078533172607,1.7525422974163352,1093504.0,2.0649635791778564,6353,1115.5419887592543,5.928306992592181e-05,7.634088492923225e-05,1352192.0,2.110896348953247,2.4989073276519775,17412,120437,1.872945394479074,2142464.0,18848640.0,{'runtime': 301},0,1574144.0,3331840.0,0.06136784702539444,2899.9309711079404,0.00022003843868556095,2.0479133129119873,0.0001175818157649598,2.16058349609375,2.7540957927703857,0.07060226798057556,13556,1585.459544200683,1.4851769707517493,2.550861336982049e-05,2.0666046142578125,1641216.0,2.3087329864501953,12098,1970.2638664529804,1.8301109615810311,7.813658621527223e-05,1608960.0,1276160.0,1.698387861251831,13525,10563,2370.884681594902,1.7269100143843386,6.671750494556346e-05,10012,1.7790119432622324,13,7.48854249025908e-05,1609728.0,3218432.0,19265.229524404134,1.906055076967328,1.3387174505125752e-05,1715804846.5554693,0.977400004863739,788.2919676011079,1699.6023984278872,1959.6890619579935,302.7266411781311,14590,4.840151208775746e-05,2.3892178535461426,0.97903311252594,13716,1769.0081417217734,2.015313024507403,8612,3106.556902579614,1.4446502430121928,1.424600059556929,4.2343699090333465e-05,False,0.9,0.999,D4,50,rotflip,mnist,0,3,60000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,48,1000
2,desert-sweep-998,1.086931028042736,0,1.4142427444458008,1.7264430405172853,953856.0,1.38090181350708,3427,288.3569319025805,0.00016482799092953812,0.00015427066560661583,1284992.0,1.7413039207458496,1.809256911277771,10258,68588,1.853764882649452,2088192.0,18049664.0,{'runtime': 196},0,1473280.0,3040512.0,0.0889461562037468,143.46064673544936,0.000270310779699994,1.9657407999038696,8.180018153043742e-05,1.758548617362976,2.306528806686402,0.10082510858774184,7799,419.94990137733566,1.4534527558267412,0.00024794898247517023,1.8082258701324463,1666816.0,1.8953388929367063,6945,413.459131608819,1.798813457961968,4.4381481786907686e-05,1523712.0,1241856.0,1.9854812622070312,7539,5922,686.2873419255161,1.7017197079089983,9.429617421036954e-05,5649,1.7527076599047051,12,0.00036694378340080706,1547008.0,3229440.0,4178.162192215301,1.8832029761302176,0.00013717983318555418,1715804617.913627,0.9679999947547911,239.37407437738875,275.5635448799294,577.8219342185112,198.26165771484375,8448,0.0001040240895570396,1.5897749662399292,0.970870077610016,7820,670.0963234362407,1.9961691627981812,4781,463.7923617535298,1.4196963182202331,1.3995155955897634,5.408422695554975e-05,False,0.9,0.999,D4,50,rotflip,mnist,0,3,60000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,32,1000
3,absurd-sweep-997,1.1490192483861952,0,1.0214827060699463,1.7478393526812912,1093504.0,1.2871884107589722,2428,236.98957180118532,0.0001163301329929597,0.0001251229938096145,1352192.0,1.8223497867584229,1.1709179878234863,7084,47430,1.8600729587045972,2142464.0,18848640.0,{'runtime': 120},0,1574144.0,3331840.0,0.1214371845126152,207.5634149504044,0.0002593970061013089,1.0382907390594482,0.00017291189437458886,1.2528271675109863,1.3519974946975708,0.12095151096582411,5373,308.3674923311089,1.4882115005901495,1.1268265783412036e-05,1.3457847833633425,1641216.0,1.136321187019348,4721,265.1008302365615,1.8131246221690096,2.6433148845205976e-05,1608960.0,1276160.0,0.7676581144332886,5404,4270,470.3374595468795,1.7145510141293117,5.429237846931031e-05,3941,1.754332471005089,13,0.0006073928921094639,1609728.0,3218432.0,2806.080232033226,1.8826006274893816,0.00012831632110660122,1715804527.5648704,0.961300015449524,279.8619791643764,187.1249086297198,304.68461551435485,121.5403814315796,5697,5.166114513712775e-05,1.1473793983459473,0.9611878991127014,5325,153.331104107456,2.0040126794796356,3187,392.7188557511796,1.4185634636889404,1.4405162318338922,4.294415026904157e-05,False,0.9,0.999,D4,50,rotflip,mnist,0,3,60000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,24,1000
4,graceful-sweep-996,1.0869638120648313,0,1.5778427124023438,1.7153892101812742,953856.0,1.6837708950042725,2102,645.2631889938407,0.0002344181788513606,0.0001320614085844879,1284992.0,2.226807117462158,1.3259377479553225,6043,40429,1.8519072904832932,2088192.0,18049664.0,{'runtime': 119},0,1473280.0,3040512.0,0.1252550631761551,179.84612183747845,0.0001313305795608728,1.6952623128890991,6.886600206922251e-05,1.7577755451202393,1.9099386930465696,0.13035674393177032,4543,400.2613493660171,1.44082000737309,0.00023199247015654676,1.8736687898635864,1666816.0,2.0934484004974365,4202,397.7328884104845,1.8055377605777077,0.00018897464368542537,1523712.0,1241856.0,1.1678658723831177,4385,3543,474.99390588018855,1.6959502128438777,2.7202712470212867e-05,3338,1.7303649556648717,12,7.085225826086071e-05,1547008.0,3229440.0,3946.191500575268,1.8807117649308367,7.243645666783839e-05,1715804401.6712728,0.95770001411438,264.91321229740606,369.4080067497516,449.65697231369904,120.92688179016112,4907,0.00012374448764924736,1.6138582229614258,0.959869146347046,4450,484.45723443917905,1.9953644533359585,2916,279.6586202872222,1.4176887975798778,1.3845100790383291,4.052418451739625e-05,False,0.9,0.999,D4,50,rotflip,mnist,0,3,60000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,16,1000
5,prime-sweep-995,1.0810643552181904,0,1.5398712158203125,1.721946035126166,887936.0,1.6748887300491333,8845,1483.3756907916886,2.669311833461207e-05,0.000143082814002309,1217536.0,1.5116593837738037,1.694167137145996,26010,177014,1.856673134957985,2178816.0,18480384.0,{'runtime': 622},0,1556352.0,3245056.0,0.06160195171833038,1231.8378253221963,0.0002562891611963478,1.9316022396087649,3.649834110903213e-05,1.7609388828277588,2.230797529220581,0.07142279297113419,19783,1818.410795891832,1.4461537290187856,7.043074740974518e-05,2.093760251998902,1549568.0,1.4191083908081057,18934,1801.122760017577,1.820989443345594,9.6942314335718e-05,1460480.0,1239296.0,2.0636327266693115,19489,14905,882.6516671409609,1.7105426438993103,0.00011157561458025437,13903,1.7619288736359398,13,0.0004866043590913939,1558784.0,3586560.0,23344.128434059705,1.8948483899443644,0.000290682501520676,1715805003.9671445,0.9767000079154968,2490.777852000894,2513.356581309483,2421.966336421916,623.1894173622131,21923,0.00017705429785963694,1.6640926599502563,0.978882908821106,20655,4843.284082593913,2.025320516324241,12567,3857.34484256924,1.4019657906434837,1.396775142715235,6.202618181003365e-05,False,0.9,0.999,rot90,50,rotflip,mnist,0,3,60000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,64,1000
6,lilac-sweep-994,1.1606535282008297,0,1.291883111000061,1.7437399891365877,1093504.0,1.3989776372909546,5872,448.9304474762703,2.747215099199209e-06,8.261692367262944e-05,1352192.0,1.9691545963287351,1.1256927251815796,16636,112683,1.863577756672477,2142464.0,18848640.0,{'runtime': 278},0,1574144.0,3331840.0,0.06953121721744537,387.26969118502166,9.14905610096918e-05,1.215392827987671,5.265540155354338e-05,1.4251254796981812,1.7558090686798096,0.0806712880730629,12932,673.1151463508286,1.5074212612386084,3.680706162894559e-05,1.5049126148223877,1641216.0,1.3549888134002686,11590,800.8827867307627,1.8141274524445876,2.283247614018532e-05,1608960.0,1276160.0,1.094105839729309,12535,9778,955.0565701290452,1.7303414143271656,1.0841413386802676e-05,9303,1.7818184702386637,13,0.0004244324524458238,1609728.0,3218432.0,14592.953591911984,1.9175114826634196,0.0001215580601852464,1715804394.0593705,0.973699986934662,8238.378198846825,799.984400937723,877.4845705256666,279.5019495487213,13371,0.0001706444935877801,1.1401877403259275,0.9772135615348816,12715,642.6775961416643,2.027729208392796,7951,769.1741835881767,1.453354324948922,1.4440954782670623,6.421025566367203e-05,False,0.9,0.999,rot90,50,rotflip,mnist,0,3,60000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,48,1000
7,sparkling-sweep-993,1.0617869491723448,0,1.4373871088027954,1.702875538747528,887936.0,1.5432413816452026,3042,166.67529187781315,8.512247931188303e-05,8.66233252305802e-05,1217536.0,1.9139946699142456,1.5575995445251465,9463,61951,1.8444712364000653,2178816.0,18480384.0,{'runtime': 166},0,1556352.0,3245056.0,0.09035637229681016,156.38025992687062,7.715877428197843e-05,1.5957599878311155,0.00021860888530865876,1.584994912147522,1.8534767627716064,0.10016697645187378,7221,255.88928223742096,1.4368868617088104,0.0001290638813783133,1.861169457435608,1549568.0,1.437293291091919,6415,187.24568739142703,1.8014536373123295,0.00011669619802766728,1460480.0,1239296.0,1.4540338516235352,6961,5234,122.2115263988153,1.6921667892032866,5.0674141085183395e-05,4816,1.7533550567764573,13,4.971631900078504e-05,1558784.0,3586560.0,5162.385856039673,1.876526575052476,2.9251321074495548e-05,1715804362.698321,0.9689000248908995,2560.592958287304,367.36717210398456,403.82782841419066,167.45556545257568,7430,7.183138147579057e-05,1.0898350477218628,0.9703191518783568,6973,503.5249397759303,1.982443074379888,4396,438.67090962591647,1.3730894078189788,1.403040930654358,2.0260398627597476e-05,False,0.9,0.999,rot90,50,rotflip,mnist,0,3,60000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,32,1000
8,morning-sweep-992,1.1436728343000748,0,1.6209050416946411,1.7356055520531957,1093504.0,1.9275352954864504,2788,558.6760113863011,0.00029313465785564655,0.0002106195630591931,1352192.0,2.2637829780578613,1.4580861330032349,7920,54378,1.838887160901459,2142464.0,18848640.0,{'runtime': 116},0,1574144.0,3331840.0,0.09567245841026306,559.8096067101051,0.0002647010268391486,1.70317280292511,5.142624940386728e-05,1.7813085317611694,2.10629940032959,0.10511673241853714,6048,585.5565999050605,1.5012719320586498,0.00024386518756965123,1.7481452226638794,1641216.0,1.3993351459503174,5650,856.9932685296299,1.805671575235702,0.00029090028573663956,1608960.0,1276160.0,1.0558141469955444,6006,4753,1261.9583683825922,1.719150788479934,8.744527929421697e-05,4457,1.7760832586261337,13,0.00020122082714549256,1609728.0,3218432.0,7537.723726361164,1.909206832253033,0.0002808447523512418,1715804099.2689888,0.9670000076293944,594.1922366411391,577.1166835941622,742.1294175057938,117.70427393913268,6764,0.0001491195889606605,1.8719946146011353,0.9687833786010742,6271,526.6265030612794,2.0084920875793326,3721,1274.665030645101,1.4523670671645483,1.4361670372957305,0.00017378971429255884,False,0.9,0.999,rot90,50,rotflip,mnist,0,3,60000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,24,1000
9,legendary-sweep-991,1.0342824770560703,0,1.09283185005188,1.6846936683044662,887936.0,1.160611867904663,1347,65.80595225213392,0.0006842486896445505,0.0003736664560283219,1217536.0,1.338344693183899,0.9602728486061096,4037,26606,1.846937547193016,2178816.0,18480384.0,{'runtime': 86},0,1556352.0,3245056.0,0.13556969165802002,64.28150944755271,0.0010162867414047758,0.7664911150932312,0.000228766194526068,1.0468931198120115,1.0459215641021729,0.1404934823513031,3483,1103.3482183350343,1.441627358594915,0.0001250593537718695,1.2172154188156128,1549568.0,0.9028056859970092,2625,40.1986906411355,1.778582604054762,4.189433099721786e-05,1460480.0,1239296.0,0.874637246131897,3071,2228,66.36750148892497,1.6784176844643244,0.0004475931707238888,2004,1.7461931559787205,13,0.0003216211444948365,1558784.0,3586560.0,1997.1579212730492,1.8560631264046472,7.27737766098471e-05,1715804177.005931,0.9553999900817872,98.07406062459744,98.2633585666672,46.44833983916692,87.6939868927002,3108,0.0003816709979431215,0.8186648488044739,0.9567641615867616,2859,241.1605400983774,1.9553547113136591,1844,173.20974997945882,1.393016389328066,1.3658418647466375,4.928480945814593e-05,False,0.9,0.999,rot90,50,rotflip,mnist,0,3,60000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,16,1000
10,light-sweep-990,1.118935473977314,0,1.362030267715454,1.74538940828133,953856.0,0.9885321855545044,8764,638.4185112122505,6.592599065447268e-05,9.942600779865688e-05,1284992.0,1.2556179761886597,1.134140133857727,24960,167503,1.8695712295899547,2088192.0,18049664.0,{'runtime': 581},0,1473280.0,3040512.0,0.10161110013723372,365.8061612396268,0.00010500770160383486,1.2437752485275269,5.487728491220126e-05,1.2592322826385498,1.435469627380371,0.107846200466156,18989,997.1123566309687,1.4867729903607412,6.292405206521741e-05,1.409698724746704,1666816.0,1.2389758825302124,16921,580.6487287679338,1.824095956532812,2.346265513026699e-05,1523712.0,1241856.0,1.1328445672988892,18552,14619,534.7334292562336,1.726313912026055,4.5047445722113946e-05,13792,1.7786522389367327,12,0.0004220617186664695,1547008.0,3229440.0,6910.20044218349,1.911646880845618,0.0002916610064221986,1715804265.192879,0.9660000205039978,560.1441151723266,834.8079761608387,715.3215258910204,583.0341320037842,20314,8.502587122028916e-05,1.2920713424682615,0.9665297865867616,19294,872.3800200498663,2.020332544447772,11298,810.8276178024244,1.4403707779973285,1.4266455084593934,2.6369180426930945e-05,False,0.9,0.999,flipH,50,rotflip,mnist,0,3,60000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,64,1000
11,lucky-sweep-989,1.1548722278362726,0,0.9791886806488036,1.7477534283922234,1093504.0,1.1316977739334106,7137,564.6054999712906,2.5188067588219713e-05,0.00012552835131130226,1352192.0,1.4660491943359375,1.4039676189422607,20274,135094,1.8678740585504796,2142464.0,18848640.0,{'runtime': 305},0,1574144.0,3331840.0,0.09547795355319975,385.53170919690456,9.75782892461507e-05,1.0470991134643557,4.564390377265644e-05,1.3216997385025024,1.6447199583053589,0.10206456482410432,15351,705.4428748309147,1.5033937030507216,4.722798158820769e-05,1.6361541748046875,1641216.0,1.2908241748809814,13270,775.2078584187907,1.824373475995805,0.0001591323316444572,1608960.0,1276160.0,1.5957591533660889,15296,11715,1012.2380254962344,1.7294214029579869,7.781423668769964e-05,11342,1.7852880671500655,13,0.0005167559509311107,1609728.0,3218432.0,10363.401179486966,1.9010767962836328,0.0001010029261299234,1715803965.1354678,0.9656000137329102,473.26102491620986,974.4446968934308,1259.274721559661,306.9624638557434,15515,0.00030808746686521366,1.1284353733062744,0.9679320454597472,15618,736.7799346415777,2.0267637581155205,9576,3476.614833561951,1.442644938772368,1.447151953484166,2.8794796275702224e-05,False,0.9,0.999,flipH,50,rotflip,mnist,0,3,60000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,48,1000
12,cool-sweep-988,1.0857837044931964,0,0.5179365277290344,1.733579017383713,953856.0,0.7593309283256531,4342,175.7443934695657,9.883103405622391e-06,0.00020728087845536713,1284992.0,0.7538691759109497,0.6596502065658569,11668,80501,1.840323476161358,2088192.0,18049664.0,{'runtime': 189},0,1473280.0,3040512.0,0.14401747286319733,86.67550064800321,0.000110962314172603,1.0052818059921265,0.00018748271259827663,0.7732611894607544,0.9297413229942322,0.14114806056022644,9085,144.68519022447254,1.4470112015645906,0.0001343530886543958,0.894935131072998,1666816.0,0.6849638223648071,8686,183.61834585749784,1.7981062397861551,1.6372340598449386e-05,1523712.0,1241856.0,0.809073805809021,8675,6777,137.47750914875132,1.7036709066775388,0.0002819794454062346,6717,1.7598633755837314,12,0.0008133606075499571,1547008.0,3229440.0,1741.6438000509577,1.8826166318167097,0.0004859320947436037,1715803666.2000618,0.9549000263214112,90.19387609336628,319.04633738729535,218.69418587772225,190.9258248806,9595,0.0002464203846519607,0.7891440391540527,0.9528579115867616,9290,233.85831390810927,1.997979387996871,5666,151.65014743617394,1.4369799099221208,1.4150046648572516,0.00022344416310517845,False,0.9,0.999,flipH,50,rotflip,mnist,0,3,60000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,32,1000
13,tough-sweep-987,1.15992259016984,0,0.6741739511489868,1.7337311762322454,1093504.0,1.0297125577926636,2870,263.57266630688014,0.0002503374808762387,0.00026438923055036376,1352192.0,1.0499281883239746,1.2362229824066162,8028,54363,1.8658671448214592,2142464.0,18848640.0,{'runtime': 108},0,1574144.0,3331840.0,0.19243355095386505,136.4871468787544,0.00023259269017550897,1.1526391506195068,6.539592170184933e-05,1.0815846920013428,1.2210919857025146,0.19333139061927795,6072,188.7529820298406,1.4906819608565005,0.00012720685464359137,1.2046290636062622,1641216.0,1.1133819818496704,5540,226.8092357108594,1.8143707096294248,0.00014165852492871133,1608960.0,1276160.0,1.0403993129730225,6067,4735,383.3241953904819,1.7188669475269776,0.00033083251887247383,4615,1.7876943522694717,13,0.0006130051123592132,1609728.0,3218432.0,2867.698508657252,1.889719598856188,0.0004510488327262262,1715803640.9527996,0.9358999729156494,180.07545114253662,205.57895033076895,675.1281061064592,110.1300926208496,6330,0.0003881526013231203,1.1985334157943726,0.9373664259910583,6223,228.26779301149963,2.000477497247001,3883,379.7019817491721,1.456372188556907,1.403930710682186,0.000200856707296409,False,0.9,0.999,flipH,50,rotflip,mnist,0,3,60000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,24,1000
14,stellar-sweep-986,1.1336591156820788,0,1.5490809679031372,1.7237053046426514,1093504.0,1.5299619436264038,1679,293.42778833879834,0.00014732881368447704,0.0002933295314015356,1352192.0,2.047508001327514,1.6864076852798462,4862,32189,1.8657058810301868,2142464.0,18848640.0,{'runtime': 68},0,1574144.0,3331840.0,0.1925877183675766,309.8049554522877,4.0383969001909734e-05,1.0763479471206665,0.0005910471276550578,1.574471116065979,1.7823318243026731,0.1923675537109375,3785,496.7093059916742,1.4777338898840835,1.1016002152602707e-05,1.520142674446106,1641216.0,1.7853602170944214,3207,577.3093393404861,1.7773659540610662,0.0001292903233675715,1608960.0,1276160.0,0.7455353140830994,3739,2859,698.5308710560109,1.705691088781999,0.0002954889012731864,2755,1.7465315766417175,13,0.0005034141375091203,1609728.0,3218432.0,4339.010880621159,1.8851793454524504,0.0013259299190753286,1715803515.2926702,0.9386000037193298,242.67224631664885,183.8526185159249,592.0534277364983,70.0687952041626,3516,0.00017365206757150335,1.477915644645691,0.938568353652954,3623,160.15117183557584,1.993530980818786,2164,784.4991560372532,1.4388431371864634,1.4303538298360303,0.0002820370570926135,False,0.9,0.999,flipH,50,rotflip,mnist,0,3,60000,True,128,-1,False,True,1e-06,0,6,0.001,1024,False,16,1000
